-----------------------------------------------------------
Server listening on 5002
-----------------------------------------------------------
Accepted connection from 10.0.1.1, port 44492
[  6] local 10.0.1.7 port 5002 connected to 10.0.1.1 port 10002
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]  55.00-56.00  sec  3.58 MBytes  30.0 Mbits/sec  0.313 ms  0/2590 (0%)  
[  6]  56.00-57.00  sec  3.58 MBytes  30.0 Mbits/sec  0.287 ms  0/2590 (0%)  
[  6]  57.00-58.00  sec  3.58 MBytes  30.0 Mbits/sec  0.268 ms  0/2590 (0%)  
[  6]  58.00-59.00  sec  3.57 MBytes  30.0 Mbits/sec  0.276 ms  0/2588 (0%)  
[  6]  59.00-60.00  sec  3.58 MBytes  30.0 Mbits/sec  0.256 ms  0/2591 (0%)  
[  6]  60.00-61.00  sec  3.58 MBytes  30.0 Mbits/sec  0.296 ms  0/2590 (0%)  
[  6]  61.00-62.00  sec  3.58 MBytes  30.0 Mbits/sec  0.283 ms  0/2590 (0%)  
[  6]  62.00-63.00  sec  3.58 MBytes  30.0 Mbits/sec  0.228 ms  0/2590 (0%)  
[  6]  63.00-64.00  sec  3.58 MBytes  30.0 Mbits/sec  0.267 ms  0/2589 (0%)  
[  6]  64.00-65.00  sec  3.58 MBytes  30.0 Mbits/sec  0.280 ms  0/2590 (0%)  
[  6]  65.00-66.00  sec  3.58 MBytes  30.0 Mbits/sec  0.312 ms  0/2590 (0%)  
[  6]  66.00-67.00  sec  3.58 MBytes  30.0 Mbits/sec  0.222 ms  0/2590 (0%)  
[  6]  67.00-68.00  sec  3.58 MBytes  30.0 Mbits/sec  0.266 ms  0/2590 (0%)  
[  6]  68.00-69.00  sec  3.58 MBytes  30.0 Mbits/sec  0.323 ms  0/2589 (0%)  
[  6]  69.00-70.00  sec  3.58 MBytes  30.0 Mbits/sec  0.314 ms  0/2590 (0%)  
[  6]  70.00-71.00  sec  3.58 MBytes  30.0 Mbits/sec  0.261 ms  0/2590 (0%)  
[  6]  71.00-72.00  sec  3.58 MBytes  30.0 Mbits/sec  0.219 ms  0/2590 (0%)  
[  6]  72.00-73.00  sec  3.58 MBytes  30.0 Mbits/sec  0.284 ms  0/2589 (0%)  
[  6]  73.00-74.00  sec  3.58 MBytes  30.0 Mbits/sec  0.365 ms  0/2590 (0%)  
[  6]  74.00-75.00  sec  3.58 MBytes  30.0 Mbits/sec  0.282 ms  0/2590 (0%)  
[  6]  75.00-76.00  sec  3.58 MBytes  30.0 Mbits/sec  0.304 ms  0/2590 (0%)  
[  6]  76.00-77.00  sec  3.58 MBytes  30.0 Mbits/sec  0.237 ms  0/2590 (0%)  
[  6]  77.00-78.00  sec  3.58 MBytes  30.0 Mbits/sec  0.257 ms  0/2589 (0%)  
[  6]  78.00-79.00  sec  3.58 MBytes  30.0 Mbits/sec  0.272 ms  0/2590 (0%)  
[  6]  79.00-80.00  sec  3.58 MBytes  30.0 Mbits/sec  0.276 ms  0/2590 (0%)  
[  6]  80.00-80.04  sec   154 KBytes  29.9 Mbits/sec  0.294 ms  0/109 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-80.04  sec   286 MBytes  30.0 Mbits/sec  0.294 ms  0/207181 (0%)  receiver
