-----------------------------------------------------------
Server listening on 5002
-----------------------------------------------------------
Accepted connection from 10.0.1.1, port 45194
[  6] local 10.0.1.7 port 5002 connected to 10.0.1.1 port 10002
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]  57.00-58.00  sec  13.1 MBytes   110 Mbits/sec  0.169 ms  0/9480 (0%)  
[  6]  58.00-59.00  sec  13.1 MBytes   110 Mbits/sec  0.251 ms  0/9502 (0%)  
[  6]  59.00-60.00  sec  13.1 MBytes   110 Mbits/sec  0.174 ms  0/9503 (0%)  
[  6]  60.00-61.00  sec  13.1 MBytes   110 Mbits/sec  0.141 ms  0/9496 (0%)  
[  6]  61.00-62.00  sec  13.1 MBytes   110 Mbits/sec  0.121 ms  0/9495 (0%)  
[  6]  62.00-63.00  sec  13.1 MBytes   110 Mbits/sec  0.141 ms  0/9495 (0%)  
[  6]  63.00-64.00  sec  13.1 MBytes   110 Mbits/sec  0.153 ms  0/9498 (0%)  
[  6]  64.00-65.00  sec  13.1 MBytes   110 Mbits/sec  0.113 ms  0/9476 (0%)  
[  6]  65.00-66.00  sec  13.1 MBytes   110 Mbits/sec  0.105 ms  0/9505 (0%)  
[  6]  66.00-67.00  sec  13.1 MBytes   110 Mbits/sec  0.176 ms  0/9506 (0%)  
[  6]  67.00-68.00  sec  13.0 MBytes   109 Mbits/sec  0.097 ms  0/9447 (0%)  
[  6]  68.00-69.00  sec  13.2 MBytes   110 Mbits/sec  0.129 ms  0/9534 (0%)  
[  6]  69.00-70.00  sec  13.1 MBytes   110 Mbits/sec  0.104 ms  0/9496 (0%)  
[  6]  70.00-71.00  sec  13.1 MBytes   110 Mbits/sec  0.142 ms  0/9501 (0%)  
[  6]  71.00-72.00  sec  13.1 MBytes   110 Mbits/sec  0.125 ms  0/9502 (0%)  
[  6]  72.00-73.00  sec  13.1 MBytes   110 Mbits/sec  0.141 ms  0/9493 (0%)  
[  6]  73.00-74.00  sec  13.1 MBytes   110 Mbits/sec  0.115 ms  0/9498 (0%)  
[  6]  74.00-75.00  sec  13.1 MBytes   110 Mbits/sec  0.081 ms  0/9495 (0%)  
[  6]  75.00-76.00  sec  13.1 MBytes   110 Mbits/sec  0.139 ms  0/9497 (0%)  
[  6]  76.00-77.00  sec  13.1 MBytes   110 Mbits/sec  0.130 ms  0/9496 (0%)  
[  6]  77.00-78.00  sec  13.1 MBytes   110 Mbits/sec  0.095 ms  0/9492 (0%)  
[  6]  78.00-79.00  sec  13.1 MBytes   110 Mbits/sec  0.097 ms  0/9489 (0%)  
[  6]  79.00-80.00  sec  13.1 MBytes   110 Mbits/sec  0.100 ms  0/9505 (0%)  
[  6]  80.00-80.03  sec   382 KBytes   108 Mbits/sec  0.184 ms  0/270 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-80.03  sec  1.02 GBytes   110 Mbits/sec  0.184 ms  396/759656 (0.052%)  receiver
