-----------------------------------------------------------
Server listening on 5002
-----------------------------------------------------------
Accepted connection from 10.0.1.1, port 46868
[  6] local 10.0.1.7 port 5002 connected to 10.0.1.1 port 10002
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]  55.00-56.00  sec  6.26 MBytes  52.5 Mbits/sec  0.320 ms  650/5180 (13%)  
[  6]  56.00-57.00  sec  6.26 MBytes  52.5 Mbits/sec  0.414 ms  649/5179 (13%)  
[  6]  57.00-58.00  sec  6.26 MBytes  52.5 Mbits/sec  0.268 ms  649/5179 (13%)  
[  6]  58.00-59.00  sec  6.26 MBytes  52.5 Mbits/sec  0.272 ms  648/5178 (13%)  
[  6]  59.00-60.00  sec  6.26 MBytes  52.5 Mbits/sec  0.354 ms  650/5182 (13%)  
[  6]  60.00-61.00  sec  6.26 MBytes  52.5 Mbits/sec  0.351 ms  649/5179 (13%)  
[  6]  61.00-62.00  sec  6.26 MBytes  52.5 Mbits/sec  0.305 ms  650/5180 (13%)  
[  6]  62.00-63.00  sec  6.25 MBytes  52.5 Mbits/sec  0.312 ms  649/5178 (13%)  
[  6]  63.00-64.00  sec  6.26 MBytes  52.5 Mbits/sec  0.316 ms  650/5181 (13%)  
[  6]  64.00-65.00  sec  6.26 MBytes  52.5 Mbits/sec  0.358 ms  650/5180 (13%)  
[  6]  65.00-66.00  sec  6.26 MBytes  52.5 Mbits/sec  0.352 ms  648/5179 (13%)  
[  6]  66.00-67.00  sec  6.26 MBytes  52.5 Mbits/sec  0.332 ms  650/5180 (13%)  
[  6]  67.00-68.00  sec  6.26 MBytes  52.5 Mbits/sec  0.343 ms  648/5178 (13%)  
[  6]  68.00-69.00  sec  6.26 MBytes  52.5 Mbits/sec  0.298 ms  650/5180 (13%)  
[  6]  69.00-70.00  sec  6.26 MBytes  52.5 Mbits/sec  0.287 ms  649/5179 (13%)  
[  6]  70.00-71.00  sec  6.26 MBytes  52.5 Mbits/sec  0.342 ms  650/5181 (13%)  
[  6]  71.00-72.00  sec  6.25 MBytes  52.5 Mbits/sec  0.299 ms  649/5178 (13%)  
[  6]  72.00-73.00  sec  6.26 MBytes  52.5 Mbits/sec  0.288 ms  650/5182 (13%)  
[  6]  73.00-74.00  sec  6.26 MBytes  52.5 Mbits/sec  0.348 ms  649/5179 (13%)  
[  6]  74.00-75.00  sec  6.25 MBytes  52.5 Mbits/sec  0.321 ms  648/5177 (13%)  
[  6]  75.00-76.00  sec  6.26 MBytes  52.5 Mbits/sec  0.319 ms  651/5182 (13%)  
[  6]  76.00-77.00  sec  6.26 MBytes  52.5 Mbits/sec  0.330 ms  648/5178 (13%)  
[  6]  77.00-78.00  sec  6.26 MBytes  52.5 Mbits/sec  0.326 ms  650/5181 (13%)  
[  6]  78.00-79.00  sec  6.26 MBytes  52.5 Mbits/sec  0.327 ms  649/5179 (13%)  
[  6]  79.00-80.00  sec  6.26 MBytes  52.5 Mbits/sec  0.332 ms  650/5180 (13%)  
[  6]  80.00-80.04  sec   280 KBytes  52.3 Mbits/sec  0.257 ms  28/226 (12%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]   0.00-80.04  sec   500 MBytes  52.4 Mbits/sec  0.257 ms  51938/414360 (13%)  receiver
