ID,Difference
0x00000000000021fc,0.381184
0x00000000000021fd,0.73856
0x00000000000021fe,0.364288
0x00000000000021ff,0.379904
0x0000000000002200,0.753664
0x0000000000002201,0.381184
0x0000000000002202,0.775424
0x0000000000002203,0.380416
0x0000000000002204,0.359168
0x0000000000002205,0.770816
0x0000000000002206,0.372992
0x0000000000002207,0.790272
0x0000000000002208,0.380416
0x0000000000002209,0.781312
0x000000000000220a,0.379904
0x000000000000220b,0.363008
0x000000000000220c,0.696576
0x000000000000220d,0.38016
0x000000000000220e,0.712448
0x000000000000220f,0.358656
0x0000000000002210,0.781312
0x0000000000002211,0.382208
0x0000000000002212,0.361216
0x0000000000002213,0.782592
0x0000000000002214,0.381184
0x0000000000002215,0.69376
0x0000000000002216,0.38016
0x0000000000002217,0.380416
0x0000000000002218,0.736512
0x0000000000002219,0.360448
0x000000000000221a,0.691968
0x000000000000221b,0.375296
0x000000000000221c,0.693248
0x000000000000221d,0.380416
0x000000000000221e,0.379904
0x000000000000221f,0.690944
0x0000000000002220,0.361984
0x0000000000002221,0.767744
0x0000000000002222,0.380672
0x0000000000002223,0.749056
0x0000000000002224,0.379648
0x0000000000002225,0.379648
0x0000000000002226,0.779264
0x0000000000002227,0.36096
0x0000000000002228,0.726784
0x0000000000002229,0.38272
0x000000000000222a,0.379904
0x000000000000222b,0.73728
0x000000000000222c,0.381696
0x000000000000222d,0.753664
0x000000000000222e,0.361984
0x000000000000222f,0.68992
0x0000000000002230,0.381696
0x0000000000002231,0.360192
0x0000000000002232,0.772096
0x0000000000002233,0.381696
0x0000000000002234,0.763136
0x0000000000002235,0.712448
0x0000000000002236,1.0368
0x0000000000002237,0.380672
0x0000000000002238,0.379904
0x0000000000002239,0.755712
0x000000000000223a,0.379648
0x000000000000223b,0.799744
0x000000000000223c,0.36096
0x000000000000223d,0.379648
0x000000000000223e,0.699648
0x000000000000223f,0.380672
0x0000000000002240,0.745728
0x0000000000002241,0.380928
0x0000000000002242,0.72576
0x0000000000002243,0.36608
0x0000000000002244,0.37248
0x0000000000002245,0.691712
0x0000000000002246,0.373248
0x0000000000002247,0.726528
0x0000000000002248,0.380672
