ID,Difference
0x0000000000002219,6.541568
0x000000000000221a,
0x000000000000221b,
0x000000000000221c,6.621184
0x000000000000221d,
0x000000000000221e,
0x000000000000221f,6.69312
0x0000000000002220,
0x0000000000002221,6.791424
0x0000000000002222,
0x0000000000002223,
0x0000000000002224,7.170048
0x0000000000002225,
0x0000000000002226,
0x0000000000002227,6.944768
0x0000000000002228,
0x0000000000002229,
0x000000000000222a,7.009792
0x000000000000222b,
0x000000000000222c,
0x000000000000222d,
0x000000000000222e,6.12736
0x000000000000222f,
0x0000000000002230,
0x0000000000002231,6.207744
0x0000000000002232,
0x0000000000002233,6.294272
0x0000000000002234,
0x0000000000002235,
0x0000000000002236,7.203072
0x0000000000002237,
0x0000000000002238,
0x0000000000002239,6.754304
0x000000000000223a,
0x000000000000223b,6.840832
0x000000000000223c,
0x000000000000223d,
0x000000000000223e,6.928896
0x000000000000223f,
0x0000000000002240,6.985984
0x0000000000002241,
0x0000000000002242,
0x0000000000002243,7.107072
0x0000000000002244,
0x0000000000002245,7.162112
0x0000000000002246,
0x0000000000002247,
0x0000000000002248,
0x0000000000002249,7.23968
0x000000000000224a,
0x000000000000224b,
0x000000000000224c,7.323648
0x000000000000224d,
0x000000000000224e,
0x000000000000224f,
0x0000000000002250,6.427392
0x0000000000002251,
0x0000000000002252,6.207488
0x0000000000002253,
0x0000000000002254,
0x0000000000002255,6.281984
0x0000000000002256,
0x0000000000002257,
0x0000000000002258,6.3744
0x0000000000002259,
0x000000000000225a,6.461184
0x000000000000225b,
0x000000000000225c,
0x000000000000225d,6.548224
0x000000000000225e,
0x000000000000225f,6.635008
0x0000000000002260,
0x0000000000002261,
0x0000000000002262,6.715904
0x0000000000002263,
0x0000000000002264,
0x0000000000002265,6.794752
0x0000000000002266,
0x0000000000002267,
0x0000000000002268,6.852864
0x0000000000002269,
0x000000000000226a,
0x000000000000226b,6.952704
0x000000000000226c,
0x000000000000226d,7.03616
0x000000000000226e,
0x000000000000226f,
0x0000000000002270,
0x0000000000002271,
0x0000000000002272,6.130432
0x0000000000002273,
0x0000000000002274,6.198016
0x0000000000002275,
0x0000000000002276,
0x0000000000002277,6.303488
0x0000000000002278,
0x0000000000002279,6.38592
0x000000000000227a,
0x000000000000227b,
0x000000000000227c,6.44864
0x000000000000227d,
0x000000000000227e,6.825216
0x000000000000227f,
0x0000000000002280,
0x0000000000002281,6.637568
0x0000000000002282,
0x0000000000002283,
0x0000000000002284,6.713856
0x0000000000002285,
0x0000000000002286,6.809088
0x0000000000002287,
0x0000000000002288,
0x0000000000002289,
0x000000000000228a,6.873088
0x000000000000228b,
0x000000000000228c,6.957568
0x000000000000228d,
0x000000000000228e,
0x000000000000228f,7.036672
0x0000000000002290,
0x0000000000002291,
0x0000000000002292,
0x0000000000002293,6.117632
0x0000000000002294,
0x0000000000002295,
0x0000000000002296,6.221056
0x0000000000002297,
0x0000000000002298,6.305536
0x0000000000002299,
0x000000000000229a,
0x000000000000229b,6.379008
0x000000000000229c,
0x000000000000229d,
0x000000000000229e,7.214336
0x000000000000229f,
0x00000000000022a0,6.853632
0x00000000000022a1,
0x00000000000022a2,
0x00000000000022a3,6.941952
0x00000000000022a4,
0x00000000000022a5,6.725632
0x00000000000022a6,
0x00000000000022a7,
0x00000000000022a8,6.792192
0x00000000000022a9,
0x00000000000022aa,
0x00000000000022ab,6.876928
0x00000000000022ac,
0x00000000000022ad,
0x00000000000022ae,6.939904
0x00000000000022af,
0x00000000000022b0,
0x00000000000022b1,7.330816
0x00000000000022b2,
0x00000000000022b3,
0x00000000000022b4,
0x00000000000022b5,6.125568
0x00000000000022b6,
0x00000000000022b7,6.22592
0x00000000000022b8,
0x00000000000022b9,
0x00000000000022ba,6.304256
0x00000000000022bb,
0x00000000000022bc,
0x00000000000022bd,6.37568
0x00000000000022be,
0x00000000000022bf,6.4768
0x00000000000022c0,
0x00000000000022c1,
0x00000000000022c2,6.559744
0x00000000000022c3,
0x00000000000022c4,6.644992
0x00000000000022c5,
0x00000000000022c6,
0x00000000000022c7,6.706688
0x00000000000022c8,
0x00000000000022c9,
0x00000000000022ca,6.812928
0x00000000000022cb,
0x00000000000022cc,
0x00000000000022cd,6.879232
0x00000000000022ce,
0x00000000000022cf,
0x00000000000022d0,6.953728
0x00000000000022d1,
0x00000000000022d2,7.030528
0x00000000000022d3,
0x00000000000022d4,
0x00000000000022d5,
0x00000000000022d6,
0x00000000000022d7,6.144512
0x00000000000022d8,
0x00000000000022d9,6.228736
0x00000000000022da,
0x00000000000022db,
0x00000000000022dc,6.305792
0x00000000000022dd,
0x00000000000022de,6.395136
0x00000000000022df,
0x00000000000022e0,
0x00000000000022e1,6.475008
0x00000000000022e2,
0x00000000000022e3,6.55616
0x00000000000022e4,
0x00000000000022e5,
0x00000000000022e6,6.626304
0x00000000000022e7,
0x00000000000022e8,
0x00000000000022e9,6.724352
0x00000000000022ea,
0x00000000000022eb,6.792192
0x00000000000022ec,
0x00000000000022ed,
0x00000000000022ee,
0x00000000000022ef,6.863872
0x00000000000022f0,
0x00000000000022f1,6.9568
0x00000000000022f2,
0x00000000000022f3,
0x00000000000022f4,7.0528
0x00000000000022f5,
0x00000000000022f6,
0x00000000000022f7,
0x00000000000022f8,6.151424
0x00000000000022f9,
0x00000000000022fa,
0x00000000000022fb,6.507264
0x00000000000022fc,
0x00000000000022fd,6.295808
0x00000000000022fe,
0x00000000000022ff,
0x0000000000002300,6.383616
0x0000000000002301,
0x0000000000002302,
0x0000000000002303,6.481152
0x0000000000002304,
0x0000000000002305,6.565888
0x0000000000002306,
0x0000000000002307,
0x0000000000002308,6.650624
0x0000000000002309,
0x000000000000230a,6.733568
0x000000000000230b,
0x000000000000230c,
0x000000000000230d,6.847232
0x000000000000230e,
0x000000000000230f,
0x0000000000002310,6.878464
0x0000000000002311,
0x0000000000002312,
0x0000000000002313,6.955264
0x0000000000002314,
0x0000000000002315,
0x0000000000002316,7.055872
0x0000000000002317,
0x0000000000002318,
0x0000000000002319,
0x000000000000231a,6.130688
0x000000000000231b,
0x000000000000231c,6.212608
0x000000000000231d,
0x000000000000231e,
0x000000000000231f,6.311168
0x0000000000002320,
0x0000000000002321,
0x0000000000002322,6.40128
0x0000000000002323,
0x0000000000002324,6.4832
0x0000000000002325,
0x0000000000002326,
0x0000000000002327,6.552576
0x0000000000002328,
0x0000000000002329,7.35488
0x000000000000232a,
0x000000000000232b,
0x000000000000232c,7.026432
0x000000000000232d,
0x000000000000232e,
0x000000000000232f,7.116544
0x0000000000002330,
0x0000000000002331,
0x0000000000002332,7.187968
0x0000000000002333,
0x0000000000002334,
0x0000000000002335,6.975744
0x0000000000002336,
0x0000000000002337,7.056896
0x0000000000002338,
0x0000000000002339,
0x000000000000233a,
0x000000000000233b,
0x000000000000233c,6.136832
0x000000000000233d,
0x000000000000233e,6.240768
0x000000000000233f,
0x0000000000002340,
0x0000000000002341,6.610688
0x0000000000002342,
0x0000000000002343,6.69824
0x0000000000002344,
0x0000000000002345,
0x0000000000002346,6.47424
0x0000000000002347,
0x0000000000002348,6.573312
0x0000000000002349,
0x000000000000234a,
0x000000000000234b,7.474944
0x000000000000234c,
0x000000000000234d,
0x000000000000234e,7.019008
0x000000000000234f,
0x0000000000002350,6.806016
0x0000000000002351,
0x0000000000002352,
0x0000000000002353,
0x0000000000002354,6.893312
0x0000000000002355,
0x0000000000002356,6.979328
0x0000000000002357,
0x0000000000002358,
0x0000000000002359,
0x000000000000235a,
0x000000000000235b,6.066688
0x000000000000235c,
