ID,Difference
0x0000000000de0000,0.331264
0x0000000000ea0000,0.276992
0x00000000000f0000,0.817408
0x0000000000c00000,0.26368
0x00000000003d0000,0.438528
0x0000000000880000,0.595968
0x0000000000000000,0.279552
0x0000000000000000,30923.501568
0x0000000000000000,30923.513856
0x0000000000000000,55497.114368
0x0000000000000000,55497.12768
0x0000000000be0000,0.273408
0x0000000000920000,0.265984
0x0000000000000001,0.89728
0x0000000000000002,0.561408
0x0000000000000003,0.983296
0x0000000000000004,0.740608
0x0000000000000005,0.740864
0x0000000000000006,0.740608
0x0000000000000007,0.361728
0x0000000000000008,0.810752
0x0000000000000009,0.811008
0x000000000000000a,0.510976
0x000000000000000b,0.909312
0x000000000000000c,1.136384
0x000000000000000d,1.136384
0x000000000000000e,1.136384
0x000000000000000f,0.49152
0x0000000000000010,0.859136
0x0000000000000011,0.382464
0x0000000000000012,0.781312
0x0000000000000013,0.781568
0x0000000000000014,0.52864
0x0000000000000015,1.055488
0x0000000000000016,0.597248
0x0000000000000017,0.848896
0x0000000000000018,0.848896
0x0000000000000019,0.36224
0x000000000000001a,0.759808
0x000000000000001b,0.759808
0x000000000000001c,0.55552
0x000000000000001d,1.063424
0x000000000000001e,0.530176
0x000000000000001f,0.75648
0x0000000000000020,0.756224
0x0000000000000021,0.750848
0x0000000000000022,1.07904
0x0000000000000023,0.385536
0x0000000000000024,0.774144
0x0000000000000025,0.774144
0x0000000000000026,0.549888
0x0000000000000027,0.849408
0x0000000000000028,0.849408
0x0000000000000029,0.660224
0x000000000000002a,0.991744
0x000000000000002b,0.36224
0x000000000000002c,0.754432
0x000000000000002d,0.754432
0x000000000000002e,0.466688
0x000000000000002f,0.978176
0x0000000000000030,0.589568
0x0000000000000031,0.816896
0x0000000000000032,0.81664
0x0000000000000033,0.359168
0x0000000000000034,0.77184
0x0000000000000035,0.77184
0x0000000000000036,0.521472
0x0000000000000037,1.10848
0x0000000000000038,0.5312
0x0000000000000039,0.959744
0x000000000000003a,0.96
0x000000000000003b,0.475904
0x000000000000003c,0.998912
0x000000000000003d,0.551168
0x000000000000003e,0.781824
0x000000000000003f,0.781824
0x0000000000000040,0.640768
0x0000000000000041,0.983552
0x0000000000000042,0.382464
0x0000000000000043,0.820992
0x0000000000000044,0.820992
0x0000000000000045,0.55424
0x0000000000000046,0.856064
0x0000000000000047,0.85632
0x0000000000000048,0.676864
0x0000000000000049,1.025792
0x000000000000004a,0.363776
0x000000000000004b,0.807936
0x000000000000004c,0.808192
0x000000000000004d,0.457216
0x000000000000004e,0.97536
0x000000000000004f,0.530176
0x0000000000000050,0.758784
0x0000000000000051,0.75904
0x0000000000000052,0.740608
0x0000000000000053,0.740608
0x0000000000000054,0.740864
0x0000000000000055,0.704768
0x0000000000000056,1.046272
0x0000000000000057,0.38144
0x0000000000000058,0.774912
0x0000000000000059,0.774912
0x000000000000005a,0.562688
0x000000000000005b,1.096704
0x000000000000005c,0.589568
0x000000000000005d,0.819456
0x000000000000005e,0.8192
0x000000000000005f,0.831488
0x0000000000000060,0.831488
0x0000000000000061,0.831488
0x0000000000000062,0.35968
0x0000000000000063,0.709888
0x0000000000000064,0.380928
0x0000000000000065,0.7744
0x0000000000000066,0.774144
0x0000000000000067,0.566272
0x0000000000000068,1.087744
0x0000000000000069,0.598016
0x000000000000006a,0.826368
0x000000000000006b,0.826112
0x000000000000006c,0.358912
0x000000000000006d,0.826368
0x000000000000006e,0.826368
0x000000000000006f,0.459264
0x0000000000000070,0.968704
0x0000000000000071,0.527104
0x0000000000000072,0.7552
0x0000000000000073,0.755456
0x0000000000000074,0.640768
0x0000000000000075,0.98432
0x0000000000000076,0.38272
0x0000000000000077,0.795392
0x0000000000000078,0.795392
0x0000000000000079,0.484864
0x000000000000007a,1.000192
0x000000000000007b,0.506624
0x000000000000007c,0.758272
0x000000000000007d,0.758272
0x000000000000007e,0.739584
0x000000000000007f,0.739328
0x0000000000000080,0.739584
0x0000000000000081,0.602368
0x0000000000000082,1.039616
0x0000000000000083,0.831232
0x0000000000000084,0.831232
0x0000000000000085,0.831232
0x0000000000000086,0.359424
0x0000000000000087,0.676864
0x0000000000000088,0.787712
0x0000000000000089,0.787968
0x000000000000008a,0.787712
0x000000000000008b,0.360448
0x000000000000008c,0.754432
0x000000000000008d,0.754432
0x000000000000008e,0.460288
0x000000000000008f,0.97408
0x0000000000000090,0.547072
0x0000000000000091,0.776192
0x0000000000000092,0.776192
0x0000000000000093,0.721664
0x0000000000000094,1.046784
0x0000000000000095,0.380416
0x0000000000000096,0.755712
0x0000000000000097,0.755712
0x0000000000000098,0.526336
0x0000000000000099,0.82944
0x000000000000009a,0.82944
0x000000000000009b,0.59648
0x000000000000009c,1.001728
0x000000000000009d,0.843008
0x000000000000009e,0.843264
0x000000000000009f,0.843264
0x00000000000000a0,0.358912
0x00000000000000a1,0.677376
0x00000000000000a2,0.380928
