ID,Difference
0x0000000000001563,6.377728
0x0000000000001564,
0x0000000000001565,6.163968
0x0000000000001566,6.239488
0x0000000000001567,
0x0000000000001568,6.3296
0x0000000000001569,
0x000000000000156a,6.396928
0x000000000000156b,6.498304
0x000000000000156c,
0x000000000000156d,6.575104
0x000000000000156e,
0x000000000000156f,6.666496
0x0000000000001570,
0x0000000000001571,6.728192
0x0000000000001572,6.829568
0x0000000000001573,
0x0000000000001574,
0x0000000000001575,6.90048
0x0000000000001576,
0x0000000000001577,6.98368
0x0000000000001578,
0x0000000000001579,6.08512
0x000000000000157a,
0x000000000000157b,6.160128
0x000000000000157c,
0x000000000000157d,6.545408
0x000000000000157e,6.634496
0x000000000000157f,
0x0000000000001580,6.887424
0x0000000000001581,
0x0000000000001582,6.7776
0x0000000000001583,
0x0000000000001584,6.865152
0x0000000000001585,6.953728
0x0000000000001586,
0x0000000000001587,7.043328
0x0000000000001588,
0x0000000000001589,7.130368
0x000000000000158a,
0x000000000000158b,6.904064
0x000000000000158c,
0x000000000000158d,6.974208
0x000000000000158e,
0x000000000000158f,
0x0000000000001590,6.086912
0x0000000000001591,6.162432
0x0000000000001592,
0x0000000000001594,
0x0000000000001594,
0x0000000000001595,6.336256
0x0000000000001596,
0x0000000000001597,6.4128
0x0000000000001598,6.505216
0x0000000000001599,
0x000000000000159a,6.57152
0x000000000000159b,
0x000000000000159c,6.672128
0x000000000000159d,6.732032
0x000000000000159e,
0x000000000000159f,6.822912
0x00000000000015a0,
0x00000000000015a1,
0x00000000000015a2,6.891264
0x00000000000015a3,
0x00000000000015a4,6.298112
0x00000000000015a5,
0x00000000000015a6,6.08128
0x00000000000015a7,
0x00000000000015a8,6.150912
0x00000000000015a9,
0x00000000000015aa,6.235136
0x00000000000015ab,6.322176
0x00000000000015ac,
0x00000000000015ad,6.415104
0x00000000000015ae,
0x00000000000015af,6.507264
0x00000000000015b0,6.591232
0x00000000000015b1,
0x00000000000015b2,6.674176
0x00000000000015b3,
0x00000000000015b4,6.753792
0x00000000000015b5,
0x00000000000015b6,6.823936
0x00000000000015b7,
0x00000000000015b8,6.908416
0x00000000000015b9,
0x00000000000015ba,6.988544
0x00000000000015bb,
0x00000000000015bc,
0x00000000000015bd,6.093312
0x00000000000015be,6.161664
0x00000000000015bf,
0x00000000000015c1,
0x00000000000015c1,
0x00000000000015c2,6.341632
0x00000000000015c3,6.421248
0x00000000000015c4,
0x00000000000015c5,6.495744
0x00000000000015c6,
0x00000000000015c7,6.595328
0x00000000000015c8,
0x00000000000015c9,6.672384
0x00000000000015ca,6.74304
0x00000000000015cb,
0x00000000000015cc,6.84672
0x00000000000015cd,
0x00000000000015ce,
0x00000000000015cf,6.91456
0x00000000000015d0,
0x00000000000015d1,6.005248
0x00000000000015d2,
0x00000000000015d3,6.078464
0x00000000000015d4,
0x00000000000015d5,6.174208
0x00000000000015d6,6.255104
0x00000000000015d7,
0x00000000000015d8,6.34624
0x00000000000015d9,
0x00000000000015da,6.408192
0x00000000000015db,
0x00000000000015dc,6.504704
0x00000000000015dd,6.59328
0x00000000000015de,
0x00000000000015df,6.68288
0x00000000000015e0,
0x00000000000015e1,6.752
0x00000000000015e2,
0x00000000000015e3,6.849792
0x00000000000015e4,
0x00000000000015e5,6.909696
0x00000000000015e6,
0x00000000000015e7,7.00288
0x00000000000015e8,
0x00000000000015e9,6.092544
0x00000000000015ea,
0x00000000000015eb,6.184704
0x00000000000015ec,
0x00000000000015ed,6.571776
0x00000000000015ee,
0x00000000000015ef,6.334976
0x00000000000015f0,6.436096
0x00000000000015f1,
0x00000000000015f2,6.51904
0x00000000000015f3,
0x00000000000015f4,6.601216
0x00000000000015f5,
0x00000000000015f6,6.97856
0x00000000000015f7,6.751488
0x00000000000015f8,
0x00000000000015f9,6.844416
0x00000000000015fa,
0x00000000000015fb,
0x00000000000015fc,5.93792
0x00000000000015fd,6.99008
0x00000000000015fe,
0x00000000000015ff,
0x0000000000001600,6.104832
0x0000000000001601,
0x0000000000001602,6.179584
0x0000000000001603,6.267648
0x0000000000001604,
0x0000000000001605,6.34752
0x0000000000001606,
0x0000000000001607,6.436864
0x0000000000001608,
0x0000000000001609,6.511616
0x000000000000160a,6.592
0x000000000000160b,
0x000000000000160c,6.688512
0x000000000000160d,
0x000000000000160e,6.774272
0x000000000000160f,6.839808
0x0000000000001610,
0x0000000000001611,
0x0000000000001612,6.908672
0x0000000000001613,
0x0000000000001614,7.009536
0x0000000000001615,
0x0000000000001616,6.099968
0x0000000000001617,
0x0000000000001618,6.190336
0x0000000000001619,
0x000000000000161a,6.258944
0x000000000000161b,
0x000000000000161c,6.357504
0x000000000000161d,6.432768
0x000000000000161e,
0x000000000000161f,6.525696
0x0000000000001620,
0x0000000000001621,6.608384
0x0000000000001622,6.691584
0x0000000000001623,
0x0000000000001624,6.765568
0x0000000000001625,
0x0000000000001626,6.842624
0x0000000000001627,
0x0000000000001628,
0x0000000000001629,5.947648
0x000000000000162a,7.012608
0x000000000000162b,
0x000000000000162c,
0x000000000000162d,6.916864
0x000000000000162e,
0x000000000000162f,6.173184
0x0000000000001630,6.2784
0x0000000000001631,
0x0000000000001632,6.921472
0x0000000000001633,
0x0000000000001634,6.72256
0x0000000000001635,6.81088
0x0000000000001636,
0x0000000000001637,6.614784
0x0000000000001638,
0x0000000000001639,6.689024
0x000000000000163a,
0x000000000000163b,6.779648
0x000000000000163c,6.865152
0x000000000000163d,
0x000000000000163e,
0x000000000000163f,6.93248
0x0000000000001640,
0x0000000000001641,7.006464
0x0000000000001642,
0x0000000000001643,6.096128
0x0000000000001644,
0x0000000000001645,6.190336
0x0000000000001646,
0x0000000000001647,6.280704
0x0000000000001648,6.357248
0x0000000000001649,
0x000000000000164a,6.43328
0x000000000000164b,
0x000000000000164d,
0x000000000000164d,
0x000000000000164e,6.59968
0x000000000000164f,6.691584
0x0000000000001650,
0x0000000000001651,6.764032
0x0000000000001652,
0x0000000000001653,6.866176
0x0000000000001654,
0x0000000000001655,6.927872
0x0000000000001656,
0x0000000000001657,7.021824
0x0000000000001658,
0x0000000000001659,
0x000000000000165a,6.119168
0x000000000000165b,6.199296
0x000000000000165c,
0x000000000000165d,6.283264
0x000000000000165e,
0x000000000000165f,6.350336
0x0000000000001660,
0x0000000000001661,6.45248
0x0000000000001662,6.53568
0x0000000000001663,
0x0000000000001664,6.619392
0x0000000000001665,
0x0000000000001666,6.684672
0x0000000000001667,6.787584
0x0000000000001668,
0x0000000000001669,6.86976
0x000000000000166a,
0x000000000000166b,
0x000000000000166c,6.934016
0x000000000000166d,
0x000000000000166e,6.018304
0x000000000000166f,
0x0000000000001670,6.12096
0x0000000000001671,
0x0000000000001672,6.250752
0x0000000000001673,
0x0000000000001674,6.291968
0x0000000000001675,6.37184
0x0000000000001676,
0x0000000000001677,6.456576
0x0000000000001678,
0x0000000000001679,6.520064
0x000000000000167a,6.603776
0x000000000000167b,
0x000000000000167c,6.705152
0x000000000000167d,
0x000000000000167e,6.789632
0x000000000000167f,
0x0000000000001680,6.865152
0x0000000000001681,
0x0000000000001682,6.92736
0x0000000000001683,
0x0000000000001684,7.024896
0x0000000000001685,
0x0000000000001686,
0x0000000000001687,6.125312
0x0000000000001688,6.201344
0x0000000000001689,
0x000000000000168a,6.274048
0x000000000000168b,
0x000000000000168c,6.373888
0x000000000000168d,6.459136
0x000000000000168e,
0x000000000000168f,6.534656
0x0000000000001690,
0x0000000000001692,
0x0000000000001692,
0x0000000000001693,6.708992
0x0000000000001694,6.792192
0x0000000000001695,
0x0000000000001696,7.54688
0x0000000000001697,
0x0000000000001698,
0x0000000000001699,7.238144
0x000000000000169a,
0x000000000000169b,6.338816
0x000000000000169c,
0x000000000000169d,6.425856
0x000000000000169e,
0x000000000000169f,6.194176
0x00000000000016a0,6.295808
0x00000000000016a1,
0x00000000000016a2,6.355712
0x00000000000016a3,
0x00000000000016a4,6.44096
0x00000000000016a5,
0x00000000000016a6,6.816768
0x00000000000016a7,6.922496
0x00000000000016a8,
0x00000000000016a9,7.010304
0x00000000000016aa,
0x00000000000016ab,7.099648
0x00000000000016ac,
0x00000000000016ad,6.86208
0x00000000000016ae,
0x00000000000016af,6.950144
0x00000000000016b0,
0x00000000000016b1,7.034112
0x00000000000016b2,
0x00000000000016b3,6.11456
0x00000000000016b4,
0x00000000000016b5,6.214144
0x00000000000016b6,
0x00000000000016b7,6.297344
