Second,Jitter,Loss,Bitrate
0.00,0.064,0.00%,107
1.00,0.182,0.00%,110
2.00,0.142,0.00%,110
3.00,0.186,0.00%,110
4.00,0.127,0.00%,110
5.00,0.054,0.00%,110
6.00,0.080,0.00%,110
7.00,0.192,0.00%,110
8.00,0.145,0.00%,110
9.00,0.125,0.00%,110
10.00,0.123,0.00%,110
11.00,0.121,0.00%,110
12.00,0.211,0.00%,110
13.00,0.096,0.00%,110
14.00,0.177,0.00%,110
15.00,0.124,0.00%,110
16.00,0.180,0.00%,110
17.00,0.189,0.00%,110
18.00,0.194,0.00%,110
19.00,0.034,0.00%,110
20.00,0.052,0.00%,110
21.00,0.104,0.00%,110
22.00,0.143,0.00%,106
23.00,0.142,3.94%,109
24.00,0.142,0.00%,110
25.00,0.125,0.00%,110
26.00,0.122,0.00%,110
27.00,0.098,0.00%,110
28.00,0.080,0.00%,110
29.00,0.083,0.00%,110
30.00,0.173,0.00%,110
31.00,0.134,0.00%,110
32.00,0.080,0.00%,110
33.00,0.274,0.00%,110
34.00,0.133,0.00%,110
35.00,0.157,0.00%,110
36.00,0.293,0.00%,110
37.00,0.192,0.00%,110
38.00,0.083,0.00%,110
39.00,0.113,0.00%,110
40.00,0.123,0.11%,110
41.00,0.075,0.00%,110
42.00,0.081,0.00%,109
43.00,0.154,0.00%,111
44.00,0.100,0.00%,110
45.00,0.147,0.00%,110
46.00,0.239,0.00%,110
47.00,0.081,0.00%,110
48.00,0.071,0.00%,110
49.00,0.190,0.00%,110
50.00,0.148,0.00%,110
51.00,0.159,0.00%,110
52.00,0.145,0.00%,110
53.00,0.119,0.00%,110
54.00,0.118,0.00%,110
55.00,0.172,0.00%,110
56.00,0.183,0.00%,110
57.00,0.169,0.00%,110
58.00,0.251,0.00%,110
59.00,0.174,0.00%,110
60.00,0.141,0.00%,110
61.00,0.121,0.00%,110
62.00,0.141,0.00%,110
63.00,0.153,0.00%,110
64.00,0.113,0.00%,110
65.00,0.105,0.00%,110
66.00,0.176,0.00%,110
67.00,0.097,0.00%,109
68.00,0.129,0.00%,110
69.00,0.104,0.00%,110
70.00,0.142,0.00%,110
71.00,0.125,0.00%,110
72.00,0.141,0.00%,110
73.00,0.115,0.00%,110
74.00,0.081,0.00%,110
75.00,0.139,0.00%,110
76.00,0.130,0.00%,110
77.00,0.095,0.00%,110
78.00,0.097,0.00%,110
79.00,0.100,0.00%,110
80.00,0.184,0.00%,108
