Second,Jitter,Loss,Bitrate
0.00,0.015,0.00%,98.9
1.00,0.062,2.30%,97.6
2.00,0.044,0.00%,100
3.00,0.065,0.00%,99.9
4.00,0.019,0.00%,100
5.00,0.059,0.00%,99.9
6.00,0.078,0.00%,100
7.00,0.148,0.00%,99.9
8.00,0.453,0.00%,97.0
9.00,0.185,0.35%,76.1
10.00,0.597,0.89%,82.7
11.00,7.346,80.36%,26.4
12.00,0.035,11.56%,96.4
13.00,0.056,0.00%,100
14.00,0.159,0.00%,99.9
15.00,0.032,0.00%,100
16.00,0.027,0.00%,100
17.00,0.017,0.00%,99.9
18.00,0.130,0.00%,100
19.00,0.020,0.00%,100
20.00,0.028,0.00%,100
21.00,0.155,0.00%,99.9
22.00,0.115,0.00%,100
23.00,0.025,0.00%,100
24.00,0.054,0.00%,99.9
25.00,0.090,0.00%,99.9
26.00,0.105,0.00%,94.6
27.00,0.095,1.12%,104
28.00,0.096,0.00%,99.9
29.00,0.070,0.00%,100
30.00,0.049,0.00%,100
31.00,0.049,0.00%,100
32.00,0.017,0.00%,100
33.00,0.058,0.00%,99.9
34.00,0.142,0.00%,100
35.00,0.035,0.00%,100
36.00,0.036,0.00%,100
37.00,0.090,0.00%,99.9
38.00,0.113,0.00%,100
39.00,0.105,0.00%,100
40.00,0.086,0.00%,100
41.00,0.026,0.00%,100
42.00,0.148,0.00%,99.9
43.00,0.018,0.00%,100
44.00,0.063,0.00%,99.9
45.00,0.051,0.00%,100
46.00,0.415,0.10%,71.0
47.00,0.218,0.38%,9.12
48.00,0.146,65.15%,53.5
49.00,0.029,77.50%,37.4
50.00,0.202,0.00%,99.9
51.00,0.073,0.00%,100
52.00,0.098,0.00%,99.9
53.00,0.027,0.00%,100
54.00,0.028,0.00%,99.9
55.00,0.050,0.00%,100
56.00,0.096,0.00%,100
57.00,0.135,0.00%,99.9
58.00,0.060,0.00%,100
59.00,0.224,0.00%,100
60.00,0.061,0.00%,100
61.00,0.149,0.00%,99.9
62.00,0.160,0.00%,99.9
63.00,0.203,0.00%,100
64.00,0.019,0.00%,100
65.00,0.038,0.00%,100
66.00,0.099,0.00%,100
67.00,0.156,0.00%,99.8
68.00,0.034,0.00%,100
69.00,0.047,0.00%,100
70.00,0.108,0.00%,98.7
71.00,0.053,0.00%,101
72.00,0.112,0.00%,99.8
73.00,0.020,0.00%,100
74.00,0.128,0.00%,99.9
75.00,0.016,0.00%,100
76.00,0.085,0.00%,100
77.00,0.166,0.00%,99.8
78.00,0.124,0.00%,100
79.00,0.022,0.00%,100
80.00,0.021,0.00%,104
