Second,Jitter,Loss,Bitrate
0.00,0.267,38.24%,76.9
1.00,0.404,69.91%,39.0
2.00,0.324,50.47%,57.4
3.00,0.274,95.19%,6.97
4.00,0.177,48.26%,67.7
5.00,0.077,41.97%,70.6
6.00,6.886,68.21%,29.4
8.00,0.718,81.12%,29.1
9.00,0.644,69.95%,39.0
10.00,6.400,57.76%,41.0
11.00,0.074,84.02%,24.8
12.00,1.194,48.03%,61.6
15.00,0.130,60.77%,54.4
16.00,0.814,68.35%,30.3
18.00,0.259,92.83%,14.6
19.00,0.149,52.31%,61.5
20.00,0.112,62.32%,46.4
21.00,1.477,73.28%,32.9
24.00,1.156,75.44%,32.7
25.00,0.328,51.74%,58.4
26.00,6.685,68.97%,34.6
28.00,0.219,97.98%,3.23
29.00,1.495,94.15%,7.65
30.00,0.086,64.61%,43.9
31.00,12.522,98.53%,1.76
32.00,0.409,94.20%,8.55
33.00,0.625,49.94%,53.0
34.00,0.110,89.57%,16.1
35.00,0.273,28.32%,93.9
36.00,0.507,53.83%,60.1
37.00,0.117,35.80%,83.0
38.00,0.584,39.86%,72.9
39.00,0.279,88.22%,16.4
40.00,0.102,41.33%,74.0
41.00,0.944,81.54%,22.4
42.00,0.343,71.01%,41.3
43.00,0.079,35.02%,85.4
44.00,0.210,39.02%,78.6
45.00,0.145,17.91%,103
46.00,0.198,75.19%,33.5
47.00,1.177,51.44%,61.6
48.00,0.162,63.68%,48.1
49.00,0.106,18.12%,108
50.00,0.100,31.02%,85.1
51.00,0.232,92.83%,9.63
52.00,0.145,59.14%,53.6
53.00,0.238,48.38%,67.3
54.00,0.095,64.37%,46.1
55.00,0.271,52.96%,61.1
56.00,0.073,39.48%,79.5
57.00,0.191,26.72%,95.1
58.00,0.177,21.63%,102
59.00,0.084,29.85%,91.5
60.00,0.179,15.31%,109
61.00,0.198,66.72%,43.0
62.00,0.340,52.38%,60.3
63.00,0.574,56.85%,57.9
64.00,0.365,66.01%,44.1
65.00,0.171,42.20%,74.9
66.00,0.079,38.48%,81.1
67.00,0.127,2.75%,128
68.00,0.087,1.46%,127
69.00,0.172,34.14%,84.6
70.00,0.270,36.75%,80.1
71.00,0.284,80.96%,25.5
72.00,0.088,48.51%,66.9
73.00,0.122,19.54%,104
74.00,0.589,69.52%,39.5
75.00,0.105,34.02%,83.8
76.00,0.352,83.39%,22.3
77.00,0.118,29.71%,92.0
78.00,0.133,34.41%,85.4
79.00,0.072,17.29%,107
80.00,0.176,35.00%,78.6
