Second,Jitter,Loss,Bitrate
0.00,0.335,0.00%,19.1
1.00,0.331,0.00%,20.0
2.00,0.299,0.00%,20.0
3.00,0.354,0.00%,20.0
4.00,0.287,0.00%,20.0
5.00,0.287,0.00%,20.0
6.00,0.301,0.00%,20.0
7.00,0.299,0.00%,20.0
8.00,0.272,0.00%,20.0
9.00,0.299,0.00%,20.0
10.00,0.307,0.00%,20.0
11.00,0.308,0.00%,20.0
12.00,0.279,0.00%,20.0
13.00,0.304,0.00%,20.0
14.00,0.348,0.00%,20.0
15.00,0.310,0.00%,20.0
16.00,0.302,0.00%,20.0
17.00,0.370,0.00%,20.0
18.00,0.406,0.00%,20.0
19.00,0.306,0.00%,20.0
20.00,0.304,0.00%,20.0
21.00,0.297,0.00%,20.0
22.00,0.307,0.00%,20.0
23.00,0.327,0.00%,20.0
24.00,0.326,0.00%,20.0
25.00,0.309,0.00%,20.0
26.00,0.331,0.00%,20.0
27.00,0.273,0.00%,20.0
28.00,0.329,0.00%,20.0
29.00,0.342,0.00%,20.0
30.00,0.399,0.00%,20.0
31.00,0.311,0.00%,20.0
32.00,0.310,0.00%,20.0
33.00,0.275,0.00%,20.0
34.00,0.289,0.00%,20.0
35.00,0.318,0.00%,20.0
36.00,0.277,0.00%,20.0
37.00,0.337,0.00%,20.0
38.00,0.385,0.00%,20.0
39.00,0.372,0.00%,20.0
40.00,0.378,0.00%,20.0
41.00,0.303,0.00%,20.0
42.00,0.286,0.00%,20.0
43.00,0.311,0.00%,20.0
44.00,0.374,0.00%,20.0
45.00,0.292,0.00%,20.0
46.00,0.367,0.00%,20.0
47.00,0.287,0.00%,20.0
48.00,0.389,0.00%,20.0
49.00,0.429,0.00%,20.0
50.00,0.278,0.00%,20.0
51.00,0.445,0.00%,20.0
52.00,0.330,0.00%,20.0
53.00,0.399,0.00%,20.0
54.00,0.296,0.00%,20.0
55.00,0.306,0.00%,20.0
56.00,0.342,0.00%,20.0
57.00,0.280,0.00%,20.0
58.00,0.278,0.00%,20.0
59.00,0.288,0.00%,20.0
60.00,0.309,0.00%,20.0
61.00,0.320,0.00%,20.0
62.00,0.273,0.00%,20.0
63.00,0.361,0.00%,20.0
64.00,0.310,0.00%,20.0
65.00,0.365,0.00%,20.0
66.00,0.315,0.00%,20.0
67.00,0.335,0.00%,20.0
68.00,0.351,0.00%,20.0
69.00,0.290,0.00%,20.0
70.00,0.321,0.00%,20.0
71.00,0.286,0.00%,20.0
72.00,0.287,0.00%,20.0
73.00,0.261,0.00%,20.0
74.00,0.286,0.00%,20.0
75.00,0.327,0.00%,20.0
76.00,0.409,0.00%,20.0
77.00,0.366,0.00%,20.0
78.00,0.352,0.00%,20.0
79.00,0.297,0.00%,20.0
80.00,0.346,0.00%,19.8
