Second,Jitter,Loss,Bitrate
0.00,0.185,0.00%,47.9
1.00,0.199,0.00%,50.0
2.00,0.200,0.00%,50.0
3.00,0.233,0.00%,50.0
4.00,0.227,0.00%,50.0
5.00,0.225,0.00%,50.0
6.00,0.126,0.00%,50.0
7.00,0.182,0.00%,50.0
8.00,0.235,0.00%,50.0
9.00,0.192,0.00%,50.0
10.00,0.127,0.00%,50.0
11.00,0.212,0.00%,50.0
12.00,0.166,0.00%,50.0
13.00,0.234,0.00%,50.0
14.00,0.183,0.00%,50.0
15.00,0.200,0.00%,50.0
16.00,0.142,0.00%,50.0
17.00,0.289,0.00%,50.0
18.00,0.196,0.00%,50.0
19.00,0.227,0.00%,50.0
20.00,0.182,0.00%,50.0
21.00,0.227,0.00%,50.0
22.00,0.162,0.00%,50.0
23.00,0.230,0.00%,50.0
24.00,0.221,0.00%,50.0
25.00,0.206,0.00%,50.0
26.00,0.160,0.00%,50.0
27.00,0.192,0.00%,50.0
28.00,0.177,0.00%,50.0
29.00,0.177,0.00%,50.0
30.00,0.197,0.00%,50.0
31.00,0.229,0.00%,50.0
32.00,0.250,0.00%,50.0
33.00,0.167,0.00%,50.0
34.00,0.225,0.00%,50.0
35.00,0.201,0.00%,50.0
36.00,0.191,0.00%,50.0
37.00,0.207,0.00%,50.0
38.00,0.207,0.00%,49.9
39.00,0.225,0.00%,50.1
40.00,0.216,0.00%,50.0
41.00,0.262,0.00%,50.0
42.00,0.162,0.00%,50.0
43.00,0.179,0.00%,50.0
44.00,0.177,0.00%,50.0
45.00,0.192,0.00%,50.0
46.00,0.228,0.00%,50.0
47.00,0.252,0.00%,50.1
48.00,0.157,0.00%,50.0
49.00,0.197,0.00%,50.0
50.00,0.219,0.00%,50.0
51.00,0.202,0.00%,50.0
52.00,0.222,0.00%,50.0
53.00,0.216,0.00%,50.0
54.00,0.192,0.00%,50.0
55.00,0.196,0.00%,50.0
56.00,0.196,0.00%,50.0
57.00,0.208,0.00%,50.0
58.00,0.214,0.00%,50.0
59.00,0.181,0.00%,50.0
60.00,0.194,0.00%,50.0
61.00,0.148,0.00%,50.0
62.00,0.199,0.00%,50.0
63.00,0.235,0.00%,50.0
64.00,0.153,0.00%,50.0
65.00,0.176,0.00%,50.0
66.00,0.191,0.00%,50.0
67.00,0.186,0.00%,50.0
68.00,0.194,0.00%,50.0
69.00,0.177,0.00%,49.9
70.00,0.195,0.00%,50.0
71.00,0.238,0.00%,50.0
72.00,0.164,0.00%,50.0
73.00,0.181,0.00%,50.0
74.00,0.168,0.00%,50.0
75.00,0.203,0.00%,50.0
76.00,0.205,0.00%,50.0
77.00,0.252,0.00%,50.0
78.00,0.178,0.00%,50.0
79.00,0.184,0.00%,50.0
80.00,0.146,0.00%,50.1
