Second,Jitter,Loss,Bitrate
0.00,0.036,0.00%,86.1
1.00,0.033,0.00%,90.0
2.00,0.167,0.00%,89.9
3.00,0.087,0.00%,90.1
4.00,0.050,0.00%,90.0
5.00,0.091,0.00%,90.0
6.00,0.045,0.00%,90.0
7.00,0.099,0.00%,90.0
8.00,0.052,0.00%,90.0
9.00,0.073,0.00%,90.0
10.00,0.099,0.00%,90.0
11.00,0.061,0.00%,90.0
12.00,0.169,0.00%,89.9
13.00,0.166,0.00%,90.0
14.00,0.157,0.00%,90.0
15.00,0.078,0.00%,90.0
16.00,0.072,0.00%,90.1
17.00,0.070,0.00%,90.0
18.00,0.087,0.00%,90.0
19.00,0.062,0.00%,89.9
20.00,0.109,0.00%,90.1
21.00,0.039,0.00%,90.0
22.00,0.111,0.00%,89.9
23.00,0.053,0.00%,90.1
24.00,0.127,0.00%,89.9
25.00,0.057,0.00%,90.1
26.00,0.090,0.00%,89.9
27.00,0.061,0.00%,90.0
28.00,0.067,0.00%,90.1
29.00,0.143,0.00%,90.0
30.00,0.035,0.00%,90.0
31.00,0.067,0.00%,90.0
32.00,0.077,0.00%,90.0
33.00,0.053,0.00%,89.9
34.00,0.067,0.00%,90.1
35.00,0.122,0.00%,89.8
36.00,0.118,0.00%,90.1
37.00,0.071,0.00%,90.1
38.00,0.083,0.00%,90.0
39.00,0.110,0.00%,90.0
40.00,0.064,0.00%,90.0
41.00,0.118,0.00%,90.0
42.00,0.058,0.00%,90.0
43.00,0.149,0.00%,89.9
44.00,0.105,0.00%,90.0
45.00,0.068,0.00%,90.0
46.00,0.087,0.00%,90.0
47.00,0.064,0.00%,89.9
48.00,0.075,0.00%,90.0
49.00,0.105,0.00%,89.9
50.00,0.106,0.00%,90.1
51.00,0.035,0.00%,90.0
52.00,0.062,0.00%,90.0
53.00,0.068,0.00%,90.0
54.00,0.202,0.00%,90.0
55.00,0.134,0.00%,90.0
56.00,0.106,0.00%,90.0
57.00,0.132,0.00%,90.0
58.00,0.068,0.00%,90.0
59.00,0.029,0.00%,90.0
60.00,0.075,0.00%,90.0
61.00,0.066,0.00%,90.0
62.00,0.164,0.00%,90.0
63.00,0.074,0.00%,90.0
64.00,0.083,0.00%,90.0
65.00,0.086,0.00%,90.0
66.00,0.177,0.00%,90.0
67.00,0.126,0.00%,90.0
68.00,0.136,0.00%,90.0
69.00,0.046,0.00%,90.0
70.00,0.087,0.00%,90.0
71.00,0.067,0.00%,90.0
72.00,0.104,0.00%,90.0
73.00,0.038,0.00%,90.0
74.00,0.087,0.00%,90.0
75.00,0.089,0.00%,90.0
76.00,0.077,0.00%,90.0
77.00,0.086,0.00%,90.0
78.00,0.073,0.00%,90.0
79.00,0.139,0.00%,89.9
80.00,0.055,0.00%,94.6
