Second,Jitter,Loss,Bitrate
0.00,0.129,0.00%,65.7
1.00,0.140,0.00%,71.3
2.00,0.171,0.00%,70.0
3.00,0.183,0.00%,70.0
4.00,0.220,0.00%,70.0
5.00,0.168,0.00%,70.0
6.00,0.068,0.00%,70.0
7.00,0.215,0.00%,70.0
8.00,0.136,0.00%,70.0
9.00,0.180,0.00%,70.0
10.00,0.169,0.00%,70.0
11.00,0.139,0.00%,70.0
12.00,0.157,0.00%,70.0
13.00,0.200,0.00%,70.0
14.00,0.173,0.00%,70.0
15.00,0.156,0.00%,70.0
16.00,0.138,0.00%,70.0
17.00,0.168,0.00%,70.0
18.00,0.169,0.00%,70.0
19.00,0.184,0.00%,70.0
20.00,0.198,0.00%,70.0
21.00,0.171,0.00%,70.0
22.00,0.185,0.00%,70.0
23.00,0.213,0.00%,70.0
24.00,0.192,0.00%,70.0
25.00,0.097,0.00%,70.0
26.00,0.109,0.00%,70.0
27.00,0.154,0.00%,70.0
28.00,0.126,0.00%,70.0
29.00,0.199,0.00%,70.0
30.00,0.168,0.00%,70.0
31.00,0.201,0.00%,70.0
32.00,0.139,0.00%,70.0
33.00,0.159,0.00%,70.0
34.00,0.149,0.00%,70.0
35.00,0.126,0.00%,70.0
36.00,0.194,0.00%,70.0
37.00,0.126,0.00%,70.0
38.00,0.124,0.00%,70.1
39.00,0.100,0.00%,70.0
40.00,0.184,0.00%,70.0
41.00,0.162,0.00%,69.9
42.00,0.179,0.00%,70.1
43.00,0.084,0.00%,70.1
44.00,0.140,0.00%,70.0
45.00,0.144,0.00%,70.0
46.00,0.159,0.00%,70.0
47.00,0.134,0.00%,70.0
48.00,0.220,0.00%,70.0
49.00,0.206,0.00%,70.0
50.00,0.129,0.00%,70.1
51.00,0.159,0.00%,70.0
52.00,0.156,0.00%,70.0
53.00,0.245,0.00%,70.0
54.00,0.152,0.00%,70.1
55.00,0.105,0.00%,70.0
56.00,0.200,0.00%,70.0
57.00,0.196,0.00%,70.0
58.00,0.210,0.00%,69.9
59.00,0.190,0.00%,70.0
60.00,0.123,0.00%,70.0
61.00,0.147,0.00%,68.8
62.00,0.169,0.00%,71.2
63.00,0.247,0.00%,70.0
64.00,0.131,0.00%,70.0
65.00,0.055,0.00%,70.0
66.00,0.088,0.00%,70.0
67.00,0.129,0.00%,70.0
68.00,0.166,0.00%,70.0
69.00,0.179,0.00%,70.0
70.00,0.165,0.00%,70.0
71.00,0.197,0.00%,70.0
72.00,0.200,0.00%,70.0
73.00,0.201,0.00%,70.0
74.00,0.164,0.00%,70.0
75.00,0.115,0.00%,70.0
76.00,0.140,0.00%,70.0
77.00,0.143,0.00%,69.9
78.00,0.160,0.00%,70.0
79.00,0.070,0.00%,70.0
80.00,0.158,0.00%,70.1
