Second,Jitter,Loss,Bitrate
0.00,0.135,0.00%,77.6
1.00,0.158,0.00%,80.0
2.00,0.133,0.00%,80.0
3.00,0.128,0.00%,80.0
4.00,0.090,0.00%,80.0
5.00,0.174,0.00%,80.0
6.00,0.135,0.00%,80.0
7.00,0.131,0.00%,80.0
8.00,0.092,0.00%,80.0
9.00,0.123,0.00%,80.0
10.00,0.125,0.00%,79.9
11.00,0.068,0.00%,80.1
12.00,0.091,0.00%,80.0
13.00,0.173,0.00%,80.0
14.00,0.119,0.00%,80.0
15.00,0.085,0.00%,79.9
16.00,0.125,0.00%,80.1
17.00,0.238,0.00%,79.9
18.00,0.089,0.00%,80.1
19.00,0.119,0.00%,80.0
20.00,0.084,0.00%,80.0
21.00,0.153,0.00%,80.0
22.00,0.128,0.00%,80.0
23.00,0.168,0.00%,80.0
24.00,0.075,0.00%,80.1
25.00,0.092,0.00%,80.0
26.00,0.175,0.00%,79.9
27.00,0.166,0.00%,80.0
28.00,0.215,0.00%,79.8
29.00,0.215,0.00%,80.2
30.00,0.074,0.00%,80.0
31.00,0.093,0.00%,80.0
32.00,0.181,0.00%,80.0
33.00,0.131,0.00%,79.3
34.00,0.073,0.00%,80.7
35.00,0.093,0.00%,80.0
36.00,0.057,0.00%,80.0
37.00,0.092,0.00%,80.1
38.00,0.163,0.00%,79.9
39.00,0.123,0.00%,80.0
40.00,0.158,0.00%,80.0
41.00,0.095,0.00%,80.0
42.00,0.123,0.00%,80.0
43.00,0.117,0.00%,80.0
44.00,0.030,0.00%,80.0
45.00,0.158,0.00%,80.0
46.00,0.164,0.00%,80.0
47.00,0.071,0.00%,80.0
48.00,0.128,0.00%,80.0
49.00,0.108,0.00%,80.0
50.00,0.057,0.00%,80.0
51.00,0.116,0.00%,80.0
52.00,0.148,0.00%,80.0
53.00,0.147,0.00%,80.0
54.00,0.175,0.00%,80.0
55.00,0.143,0.00%,80.0
56.00,0.084,0.00%,80.0
57.00,0.134,0.00%,80.0
58.00,0.191,0.00%,80.0
59.00,0.047,0.00%,80.0
60.00,0.148,0.00%,80.0
61.00,0.139,0.00%,80.0
62.00,0.105,0.00%,80.0
63.00,0.140,0.00%,80.0
64.00,0.111,0.00%,80.0
65.00,0.163,0.00%,80.0
66.00,0.123,0.00%,80.0
67.00,0.134,0.00%,80.0
68.00,0.128,0.00%,80.0
69.00,0.097,0.00%,80.0
70.00,0.123,0.00%,80.0
71.00,0.177,0.00%,79.9
72.00,0.147,0.00%,80.0
73.00,0.107,0.00%,80.1
74.00,0.033,0.00%,80.0
75.00,0.104,0.00%,80.0
76.00,0.135,0.00%,79.9
77.00,0.143,0.00%,80.1
78.00,0.116,0.00%,80.0
79.00,0.136,0.00%,80.0
80.00,0.135,0.00%,80.6
