Second,Jitter,Loss,Bitrate
0.00,0.126,33.10%,75.5
1.00,0.154,27.48%,86.6
2.00,0.106,35.91%,76.3
3.00,0.861,23.69%,83.6
4.00,0.229,58.76%,53.8
5.00,1.495,23.73%,88.8
6.00,0.102,31.64%,69.4
7.00,0.122,32.83%,97.3
8.00,0.077,0.00%,120
9.00,0.104,0.00%,120
10.00,0.139,0.00%,120
11.00,0.085,0.00%,120
12.00,0.114,0.00%,120
13.00,0.115,0.00%,120
14.00,0.089,6.78%,112
15.00,0.098,2.48%,117
16.00,0.098,0.00%,120
17.00,0.105,0.00%,120
18.00,0.074,0.00%,120
19.00,0.351,8.33%,107
20.00,0.143,22.66%,94.4
21.00,0.086,4.64%,116
22.00,0.074,0.00%,120
23.00,0.176,20.28%,94.4
24.00,0.142,0.00%,122
25.00,0.074,0.00%,120
26.00,0.222,5.44%,111
27.00,0.187,42.01%,70.0
28.00,0.093,5.22%,114
29.00,0.101,19.08%,96.4
30.00,0.596,21.72%,94.2
31.00,0.178,12.42%,105
32.00,0.124,40.35%,71.8
33.00,0.228,14.87%,102
34.00,0.121,0.00%,122
35.00,0.107,8.79%,109
36.00,0.098,6.94%,111
37.00,0.136,9.52%,109
38.00,0.117,4.34%,117
39.00,0.123,0.70%,118
40.00,0.159,2.53%,119
41.00,0.138,0.00%,120
42.00,0.186,0.00%,120
43.00,0.072,0.00%,120
44.00,0.108,6.49%,109
45.00,0.140,24.07%,91.0
46.00,0.118,33.06%,81.4
47.00,0.404,5.93%,111
48.00,0.084,12.90%,106
49.00,0.090,0.21%,121
50.00,0.133,16.15%,101
51.00,0.109,0.00%,121
52.00,0.071,0.00%,120
53.00,0.102,0.00%,120
54.00,0.311,0.00%,119
55.00,0.113,0.00%,121
56.00,0.074,0.00%,120
57.00,0.076,0.00%,120
58.00,0.069,0.00%,120
59.00,0.130,9.17%,106
60.00,0.109,9.52%,111
61.00,0.150,29.65%,82.5
62.00,0.094,9.66%,109
63.00,0.077,19.30%,98.4
64.00,0.191,2.18%,116
65.00,0.117,0.00%,121
66.00,0.110,0.00%,119
67.00,0.090,0.25%,121
68.00,0.277,20.30%,94.1
69.00,0.128,25.35%,90.0
70.00,0.298,12.15%,105
71.00,0.105,8.16%,112
72.00,0.075,0.00%,120
73.00,0.153,0.00%,120
74.00,0.178,0.00%,115
75.00,0.098,22.40%,96.9
76.00,0.108,0.00%,120
77.00,0.114,0.00%,120
78.00,0.086,0.00%,120
79.00,0.164,0.00%,120
80.00,0.075,0.00%,122
