Second,Jitter,Loss,Bitrate
0.00,0.122,0.00%,9.57
1.00,0.081,0.00%,10.0
2.00,0.087,0.00%,10.0
3.00,0.192,0.00%,10.0
4.00,0.094,0.00%,10.0
5.00,0.116,0.00%,10.0
6.00,0.220,0.00%,10.0
7.00,0.049,0.00%,10.0
8.00,0.064,0.00%,10.0
9.00,0.036,0.00%,10.0
10.00,0.139,0.00%,10.0
11.00,0.215,0.00%,10.0
12.00,0.117,0.00%,10.0
13.00,0.043,0.00%,10.0
14.00,0.020,0.00%,10.0
15.00,0.186,0.00%,10.0
16.00,0.165,0.00%,10.0
17.00,0.039,0.00%,10.0
18.00,0.073,0.00%,10.0
19.00,0.191,0.00%,10.0
20.00,0.064,0.00%,10.0
21.00,0.264,0.00%,10.0
22.00,0.134,0.00%,10.0
23.00,0.166,0.00%,10.0
24.00,0.069,0.00%,10.0
25.00,0.067,0.00%,10.0
26.00,0.070,0.00%,10.0
27.00,0.144,0.00%,10.0
28.00,0.025,0.00%,10.0
29.00,0.056,0.00%,10.0
30.00,0.290,0.00%,10.0
31.00,0.065,0.00%,10.0
32.00,0.094,0.00%,10.0
33.00,0.225,0.00%,10.0
34.00,0.040,0.00%,10.0
35.00,0.147,0.00%,10.0
36.00,0.266,0.00%,10.0
37.00,0.277,0.00%,10.0
38.00,0.092,0.00%,10.0
39.00,0.354,0.00%,10.0
40.00,0.050,0.00%,10.0
41.00,0.083,0.00%,10.0
42.00,0.086,0.00%,10.0
43.00,0.142,0.00%,10.0
44.00,0.073,0.00%,10.0
45.00,0.221,0.00%,10.0
46.00,0.041,0.00%,10.0
47.00,0.139,0.00%,10.0
48.00,0.055,0.00%,10.0
49.00,0.121,0.00%,10.0
50.00,0.086,0.00%,10.0
51.00,0.092,0.00%,10.0
52.00,0.067,0.00%,10.0
53.00,0.088,0.00%,10.0
54.00,0.159,0.00%,10.0
55.00,0.013,0.00%,10.0
56.00,0.082,0.00%,10.0
57.00,0.130,0.00%,10.0
58.00,0.045,0.00%,10.0
59.00,0.037,0.00%,10.0
60.00,0.145,0.00%,10.0
61.00,0.031,0.00%,10.0
62.00,0.126,0.00%,10.0
63.00,0.065,0.00%,10.0
64.00,0.035,0.00%,10.0
65.00,0.079,0.00%,10.0
66.00,0.057,0.00%,10.0
67.00,0.101,0.00%,10.0
68.00,0.017,0.00%,10.0
69.00,0.164,0.00%,10.0
70.00,0.096,0.00%,10.0
71.00,0.128,0.00%,10.0
72.00,0.087,0.00%,10.0
73.00,0.026,0.00%,10.0
74.00,0.075,0.00%,10.0
75.00,0.096,0.00%,10.0
76.00,0.095,0.00%,10.0
77.00,0.038,0.00%,10.0
78.00,0.074,0.00%,10.0
79.00,0.186,0.00%,9.99
80.00,0.074,0.00%,10.2
