Second,Jitter,Loss,Bitrate
0.00,0.275,0.00%,28.7
1.00,0.289,0.00%,30.0
2.00,0.237,0.00%,30.0
3.00,0.218,0.00%,30.0
4.00,0.281,0.00%,30.0
5.00,0.292,0.00%,30.0
6.00,0.307,0.00%,30.0
7.00,0.286,0.00%,30.0
8.00,0.224,0.00%,30.0
9.00,0.245,0.00%,30.0
10.00,0.252,0.00%,30.0
11.00,0.346,0.00%,30.0
12.00,0.224,0.00%,30.0
13.00,0.265,0.00%,30.0
14.00,0.324,0.00%,30.0
15.00,0.310,0.00%,30.0
16.00,0.339,0.00%,30.0
17.00,0.296,0.00%,30.0
18.00,0.264,0.00%,30.0
19.00,0.310,0.00%,30.0
20.00,0.301,0.00%,30.0
21.00,0.254,0.00%,30.0
22.00,0.275,0.00%,30.0
23.00,0.236,0.00%,30.0
24.00,0.286,0.00%,30.0
25.00,0.253,0.00%,30.0
26.00,0.285,0.00%,30.0
27.00,0.296,0.00%,30.0
28.00,0.337,0.00%,30.0
29.00,0.284,0.00%,30.0
30.00,0.281,0.00%,30.0
31.00,0.278,0.00%,30.0
32.00,0.275,0.00%,30.0
33.00,0.276,0.00%,30.0
34.00,0.295,0.00%,30.0
35.00,0.345,0.00%,30.0
36.00,0.239,0.00%,30.0
37.00,0.256,0.00%,30.0
38.00,0.241,0.00%,30.0
39.00,0.350,0.00%,30.0
40.00,0.270,0.00%,30.0
41.00,0.271,0.00%,30.0
42.00,0.220,0.00%,30.0
43.00,0.261,0.00%,30.0
44.00,0.299,0.00%,30.0
45.00,0.294,0.00%,30.0
46.00,0.329,0.00%,30.0
47.00,0.321,0.00%,30.0
48.00,0.297,0.00%,30.0
49.00,0.290,0.00%,30.0
50.00,0.273,0.00%,30.0
51.00,0.295,0.00%,30.0
52.00,0.283,0.00%,30.0
53.00,0.309,0.00%,30.0
54.00,0.251,0.00%,30.0
55.00,0.313,0.00%,30.0
56.00,0.287,0.00%,30.0
57.00,0.268,0.00%,30.0
58.00,0.276,0.00%,30.0
59.00,0.256,0.00%,30.0
60.00,0.296,0.00%,30.0
61.00,0.283,0.00%,30.0
62.00,0.228,0.00%,30.0
63.00,0.267,0.00%,30.0
64.00,0.280,0.00%,30.0
65.00,0.312,0.00%,30.0
66.00,0.222,0.00%,30.0
67.00,0.266,0.00%,30.0
68.00,0.323,0.00%,30.0
69.00,0.314,0.00%,30.0
70.00,0.261,0.00%,30.0
71.00,0.219,0.00%,30.0
72.00,0.284,0.00%,30.0
73.00,0.365,0.00%,30.0
74.00,0.282,0.00%,30.0
75.00,0.304,0.00%,30.0
76.00,0.237,0.00%,30.0
77.00,0.257,0.00%,30.0
78.00,0.272,0.00%,30.0
79.00,0.276,0.00%,30.0
80.00,0.294,0.00%,29.9
