Second,Jitter,Loss,Bitrate
0.00,0.263,0.00%,38.3
1.00,0.255,0.00%,40.0
2.00,0.275,0.00%,40.0
3.00,0.217,0.00%,40.0
4.00,0.247,0.00%,40.0
5.00,0.292,0.00%,40.0
6.00,0.237,0.00%,40.0
7.00,0.209,0.00%,40.0
8.00,0.271,0.00%,40.0
9.00,0.261,0.00%,40.0
10.00,0.199,0.00%,40.0
11.00,0.231,0.00%,40.0
12.00,0.193,4.58%,38.2
13.00,0.216,0.00%,40.0
14.00,0.184,0.00%,40.0
15.00,0.239,0.00%,40.0
16.00,0.184,0.00%,40.0
17.00,0.204,0.00%,40.0
18.00,0.186,0.00%,40.0
19.00,0.219,0.00%,40.0
20.00,0.168,0.00%,40.0
21.00,0.198,0.00%,40.0
22.00,0.283,0.00%,40.0
23.00,0.212,0.00%,40.0
24.00,0.264,0.00%,40.0
25.00,0.203,0.00%,40.0
26.00,0.186,0.00%,40.0
27.00,0.231,0.00%,40.0
28.00,0.186,0.00%,40.0
29.00,0.266,0.00%,40.0
30.00,0.224,0.00%,40.0
31.00,0.218,0.00%,40.0
32.00,0.154,0.00%,40.0
33.00,0.229,0.00%,40.0
34.00,0.198,0.00%,40.0
35.00,0.283,0.00%,40.0
36.00,0.201,0.00%,40.0
37.00,0.223,0.00%,40.0
38.00,0.171,0.00%,40.0
39.00,0.201,0.00%,40.0
40.00,0.331,0.00%,40.0
41.00,0.274,0.00%,40.0
42.00,0.177,0.00%,40.0
43.00,0.241,0.00%,39.8
44.00,0.147,0.00%,40.1
45.00,0.277,0.00%,40.0
46.00,0.262,0.00%,40.0
47.00,0.214,0.00%,40.0
48.00,0.247,0.00%,40.0
49.00,0.240,0.00%,40.0
50.00,0.242,0.00%,40.0
51.00,0.237,0.00%,40.0
52.00,0.183,0.00%,40.0
53.00,0.210,0.00%,40.0
54.00,0.187,0.00%,40.0
55.00,0.222,0.00%,40.0
56.00,0.218,0.00%,40.0
57.00,0.154,0.00%,40.0
58.00,0.266,0.00%,40.0
59.00,0.197,0.00%,40.0
60.00,0.214,0.00%,40.0
61.00,0.211,0.00%,40.0
62.00,0.190,0.00%,40.0
63.00,0.159,0.00%,40.0
64.00,0.244,0.00%,40.0
65.00,0.253,0.00%,40.0
66.00,0.245,0.00%,40.0
67.00,0.166,0.00%,40.0
68.00,0.349,0.00%,36.2
69.00,0.252,10.44%,39.3
70.00,0.185,23.94%,30.4
71.00,0.208,0.00%,40.0
72.00,0.208,0.00%,40.0
73.00,0.204,0.00%,40.0
74.00,0.269,0.00%,40.0
75.00,0.149,0.00%,40.0
76.00,0.174,0.00%,40.0
77.00,0.271,0.00%,40.0
78.00,0.247,0.00%,40.0
79.00,0.163,0.00%,40.0
80.00,0.205,0.00%,40.4
