Second,Jitter,Loss,Bitrate
0.00,0.106,0.07%,79.6
10.00,0.242,0.01%,80.0
20.00,0.117,0.00%,80.0
30.00,0.158,0.06%,79.9
40.00,0.104,0.00%,80.0
50.00,0.166,0.00%,80.0
60.00,0.186,26.97%,58.4
70.00,0.191,0.00%,80.0
80.00,0.175,0.00%,80.0
90.00,0.163,0.00%,80.0
100.00,0.152,0.07%,79.9
110.00,0.180,0.00%,80.0
120.00,0.130,0.00%,80.0
130.00,0.129,0.00%,80.0
140.00,0.136,0.00%,80.0
150.00,0.111,0.00%,80.0
160.00,0.190,0.00%,80.0
170.00,0.050,0.01%,80.0
180.00,0.014,0.00%,80.0
190.00,0.188,0.00%,80.0
200.00,0.171,0.00%,80.0
210.00,0.193,0.05%,80.0
220.00,0.228,0.00%,80.0
230.00,0.194,0.00%,80.0
240.00,0.143,0.04%,80.0
250.00,0.214,0.00%,80.0
260.00,0.157,0.00%,80.0
270.00,0.165,0.00%,80.0
280.00,0.184,0.00%,80.0
290.00,0.139,0.00%,80.0
300.00,0.153,0.00%,80.7
