Second,Jitter,Loss,Bitrate
0.00,0.096,0.00%,79.7
10.00,0.169,0.00%,80.0
20.00,0.102,0.00%,80.0
30.00,0.176,0.00%,80.0
40.00,0.112,0.00%,80.0
50.00,0.155,0.08%,79.9
60.00,0.188,0.00%,80.0
70.00,0.151,0.00%,80.0
80.00,0.101,0.00%,80.0
90.00,0.125,0.07%,80.0
100.00,0.183,0.00%,80.0
110.00,0.133,0.00%,80.0
120.00,0.253,0.03%,80.0
130.00,0.158,0.00%,80.0
140.00,0.106,0.00%,80.0
150.00,0.100,0.00%,80.0
160.00,0.115,0.00%,80.0
170.00,0.128,0.00%,80.0
180.00,0.168,0.00%,80.0
190.00,0.176,0.01%,80.0
200.00,0.180,0.00%,80.0
210.00,0.162,0.00%,80.0
220.00,0.190,0.00%,80.0
230.00,0.162,0.00%,80.0
240.00,0.174,0.00%,80.0
250.00,0.157,0.00%,80.0
260.00,0.097,0.00%,80.0
270.00,0.137,0.09%,79.9
280.00,0.112,0.01%,80.0
290.00,0.140,0.00%,80.0
300.00,0.121,0.00%,80.9
