Second,Jitter,Loss,Bitrate
0.00,0.309,0.00%,29.9
10.00,0.240,0.00%,30.0
20.00,0.214,0.02%,30.0
30.00,0.296,0.00%,30.0
40.00,0.361,0.00%,30.0
50.00,0.249,0.00%,30.0
60.00,0.260,0.03%,30.0
70.00,0.304,0.00%,30.0
80.00,0.269,0.00%,30.0
90.00,0.299,0.02%,30.0
100.00,0.247,0.00%,30.0
110.00,0.277,0.00%,30.0
120.00,0.285,0.00%,30.0
130.00,0.293,0.00%,30.0
140.00,0.274,0.00%,30.0
150.00,0.246,0.00%,30.0
160.00,0.381,0.00%,29.7
170.00,0.252,2.64%,29.5
180.00,0.267,0.00%,30.0
190.00,0.258,0.00%,30.0
200.00,0.321,0.03%,30.0
210.00,0.263,0.00%,30.0
220.00,0.268,0.00%,30.0
230.00,0.301,0.00%,30.0
240.00,0.267,0.04%,30.0
250.00,0.308,0.00%,30.0
260.00,0.234,0.00%,30.0
270.00,0.310,0.02%,30.0
280.00,0.274,0.00%,30.0
290.00,0.278,0.00%,30.0
300.00,0.260,0.00%,30.0
