Second,Jitter,Loss,Bitrate
0.00,2.323,40.43%,43.1
10.00,0.328,37.63%,54.4
20.00,0.312,34.42%,52.5
30.00,0.304,34.42%,52.5
40.00,0.282,34.40%,52.5
50.00,0.314,34.44%,52.4
60.00,0.342,34.40%,52.5
70.00,0.308,34.40%,52.5
80.00,0.358,34.40%,52.5
90.00,0.411,34.40%,52.5
100.00,0.313,34.40%,52.5
110.00,0.285,34.40%,52.5
120.00,0.268,34.44%,52.4
130.00,0.306,34.40%,52.5
140.00,0.261,34.40%,52.5
150.00,0.344,34.40%,52.5
160.00,0.321,34.45%,52.4
170.00,0.328,34.40%,52.5
180.00,0.309,34.40%,52.5
190.00,0.288,34.40%,52.5
200.00,0.380,34.45%,52.4
210.00,0.317,34.40%,52.5
220.00,0.315,34.40%,52.5
230.00,0.286,34.45%,52.4
240.00,0.322,34.40%,52.5
250.00,0.248,34.40%,52.5
260.00,0.271,34.40%,52.5
270.00,0.364,34.41%,52.5
280.00,0.274,34.40%,52.5
290.00,0.350,34.40%,52.5
300.00,0.235,34.25%,52.4
