Second,Jitter,Loss,Bitrate
0.00,0.175,0.00%,49.8
10.00,0.235,0.00%,50.0
20.00,0.235,0.05%,50.0
30.00,0.197,0.00%,50.0
40.00,0.245,0.00%,50.0
50.00,0.172,0.00%,50.0
60.00,0.126,0.03%,50.0
70.00,0.198,0.00%,50.0
80.00,0.186,0.00%,50.0
90.00,0.243,0.00%,50.0
100.00,0.191,0.00%,50.0
110.00,0.182,0.00%,50.0
120.00,0.182,0.00%,50.0
130.00,0.209,0.05%,50.0
140.00,0.227,0.00%,50.0
150.00,0.201,0.00%,50.0
160.00,0.186,0.00%,50.0
170.00,0.206,0.05%,50.0
180.00,0.219,0.00%,50.0
190.00,0.202,0.00%,50.0
200.00,0.198,0.01%,50.0
210.00,0.209,0.00%,50.0
220.00,0.214,0.00%,50.0
230.00,0.195,0.00%,50.0
240.00,0.245,0.01%,50.0
250.00,0.231,3.25%,48.4
260.00,0.166,0.00%,50.0
270.00,0.200,0.02%,50.0
280.00,0.193,0.00%,50.0
290.00,0.169,0.00%,50.0
300.00,0.212,0.00%,48.6
