Second,Jitter,Loss,Bitrate
0.00,0.451,76.14%,26.1
10.00,0.467,76.15%,26.2
20.00,0.461,76.15%,26.2
30.00,0.434,76.15%,26.2
40.00,0.453,76.15%,26.2
50.00,0.442,76.15%,26.2
60.00,0.482,76.15%,26.2
70.00,0.454,76.15%,26.2
80.00,0.490,76.15%,26.2
90.00,0.528,76.16%,26.2
100.00,0.477,76.99%,25.3
110.00,0.488,76.15%,26.2
120.00,0.390,76.15%,26.2
130.00,0.526,76.15%,26.2
140.00,0.451,76.15%,26.2
150.00,0.467,76.15%,26.2
160.00,0.480,76.16%,26.2
170.00,0.483,76.15%,26.2
180.00,0.483,76.15%,26.2
190.00,0.458,76.15%,26.2
200.00,0.449,76.15%,26.2
210.00,0.458,76.15%,26.2
220.00,0.471,76.15%,26.2
230.00,0.471,76.15%,26.2
240.00,0.444,76.15%,26.2
250.00,0.455,76.15%,26.2
260.00,0.471,76.15%,26.2
270.00,0.468,76.15%,26.2
280.00,0.473,76.15%,26.2
290.00,0.475,76.15%,26.2
300.00,0.461,76.13%,26.1
