Second,Jitter,Loss,Bitrate
0.00,0.109,0.00%,9.96
10.00,0.022,0.00%,10.0
20.00,0.045,0.00%,10.0
30.00,0.167,0.00%,10.0
40.00,0.069,0.00%,10.0
50.00,0.030,0.00%,10.0
60.00,0.058,0.00%,10.0
70.00,0.027,0.00%,10.0
80.00,0.100,0.00%,10.0
90.00,0.112,0.00%,10.0
100.00,0.099,0.00%,10.0
110.00,0.084,0.00%,10.0
120.00,0.116,0.00%,10.0
130.00,0.077,0.00%,10.0
140.00,0.051,0.00%,10.0
150.00,0.188,0.00%,10.0
160.00,0.035,0.00%,10.0
170.00,0.045,0.00%,10.0
180.00,0.015,0.00%,10.0
190.00,0.035,0.00%,10.0
200.00,0.063,0.00%,10.0
210.00,0.077,0.00%,10.0
220.00,0.066,0.00%,10.0
230.00,0.090,0.00%,10.0
240.00,0.049,0.00%,10.0
250.00,0.084,0.00%,10.0
260.00,0.119,0.00%,10.0
270.00,0.033,0.00%,10.0
280.00,0.068,0.00%,10.0
290.00,0.138,0.00%,10.0
300.00,0.024,0.00%,9.98
