Second,Jitter,Loss,Bitrate
0.00,0.077,12.64%,104
10.00,0.018,12.54%,105
20.00,0.238,12.54%,105
30.00,0.145,12.54%,105
40.00,0.137,12.61%,105
50.00,0.214,12.54%,105
60.00,0.157,12.68%,105
70.00,0.169,12.61%,105
80.00,0.211,12.54%,105
90.00,0.151,12.54%,105
100.00,0.169,12.54%,105
110.00,0.201,12.57%,105
120.00,0.177,12.54%,105
130.00,0.213,12.54%,105
140.00,0.142,12.54%,105
150.00,2.707,15.01%,88.8
160.00,0.218,38.28%,83.7
170.00,0.152,12.54%,105
180.00,0.191,12.56%,105
190.00,0.018,12.54%,105
200.00,0.144,12.54%,105
210.00,0.155,12.54%,105
220.00,0.183,12.61%,105
230.00,0.143,12.54%,105
240.00,0.141,12.54%,105
250.00,0.156,12.54%,105
260.00,0.177,12.59%,105
270.00,0.116,12.55%,105
280.00,0.157,12.54%,105
290.00,0.108,12.59%,105
300.00,0.202,12.47%,104
