Second,Jitter,Loss,Bitrate
0.00,0.149,0.00%,9.96
10.00,0.056,0.00%,10.0
20.00,0.114,0.00%,10.0
30.00,0.079,0.00%,10.0
40.00,0.076,0.00%,10.0
50.00,0.041,0.00%,10.0
60.00,0.128,0.00%,10.0
70.00,0.057,0.00%,10.0
80.00,0.031,0.00%,10.0
90.00,0.019,0.00%,10.0
100.00,0.014,0.00%,10.0
110.00,0.129,0.00%,10.0
120.00,0.030,0.00%,10.0
130.00,0.022,0.00%,10.0
140.00,0.099,0.00%,10.0
150.00,0.083,0.00%,10.0
160.00,0.065,0.00%,10.0
170.00,0.077,0.00%,10.0
180.00,0.106,0.00%,10.0
190.00,0.044,0.00%,10.0
200.00,0.077,0.00%,10.0
210.00,0.024,0.00%,10.0
220.00,0.028,0.00%,10.0
230.00,0.137,0.00%,10.0
240.00,0.065,0.00%,10.0
250.00,0.056,0.00%,10.0
260.00,0.118,0.00%,10.0
270.00,0.043,0.00%,10.0
280.00,0.051,0.00%,10.0
290.00,0.121,0.00%,10.0
300.00,0.040,0.00%,9.94
