Second,Jitter,Loss,Bitrate
0.00,0.329,47.52%,52.2
10.00,0.339,47.55%,52.5
20.00,0.268,47.52%,52.5
30.00,0.261,47.52%,52.5
40.00,0.294,47.56%,52.4
50.00,0.286,47.52%,52.5
60.00,0.252,47.52%,52.5
70.00,0.352,47.53%,52.5
80.00,0.228,47.53%,52.5
90.00,0.331,47.52%,52.5
100.00,0.344,47.52%,52.5
110.00,0.336,47.55%,52.5
120.00,0.266,47.52%,52.5
130.00,0.328,47.52%,52.5
140.00,0.398,47.52%,52.5
150.00,0.305,47.55%,52.4
160.00,0.345,47.52%,52.5
170.00,0.308,47.52%,52.5
180.00,0.256,47.52%,52.5
190.00,0.298,47.52%,52.5
200.00,0.349,47.52%,52.5
210.00,0.301,47.52%,52.5
220.00,0.377,47.53%,52.5
230.00,0.324,47.52%,52.5
240.00,0.351,47.52%,52.5
250.00,0.302,47.52%,52.5
260.00,0.360,47.53%,52.5
270.00,0.297,47.52%,52.5
280.00,0.324,47.52%,52.5
290.00,0.301,47.53%,52.5
300.00,0.306,47.57%,52.4
