Second,Jitter,Loss,Bitrate
0.00,0.192,1.60%,78.4
10.00,0.243,1.60%,78.7
20.00,0.230,1.61%,78.7
30.00,0.205,1.60%,78.7
40.00,0.245,1.61%,78.7
50.00,0.197,1.60%,78.7
60.00,0.248,1.60%,78.7
70.00,0.220,1.60%,78.7
80.00,0.232,1.60%,78.7
90.00,0.260,1.63%,78.7
100.00,0.194,1.60%,78.7
110.00,0.231,1.60%,78.7
120.00,0.261,1.61%,78.7
130.00,0.197,1.60%,78.7
140.00,0.207,1.61%,78.7
150.00,0.266,1.61%,78.7
160.00,0.210,1.67%,78.7
170.00,0.224,1.61%,78.7
180.00,0.230,1.60%,78.7
190.00,0.192,1.60%,78.7
200.00,0.232,1.60%,78.7
210.00,0.252,1.61%,78.7
220.00,0.168,1.60%,78.7
230.00,0.215,1.66%,78.7
240.00,0.215,1.60%,78.7
250.00,0.198,1.60%,78.7
260.00,0.207,1.61%,78.7
270.00,0.184,1.66%,78.7
280.00,0.271,1.60%,78.7
290.00,0.236,1.60%,78.7
300.00,0.198,1.32%,78.3
