Second,Jitter,Loss,Bitrate
0.00,0.228,0.05%,49.8
10.00,0.100,0.00%,50.0
20.00,0.265,0.00%,50.0
30.00,0.230,0.04%,50.0
40.00,0.169,0.00%,50.0
50.00,0.189,0.00%,50.0
60.00,0.189,0.00%,50.0
70.00,0.213,0.06%,50.0
80.00,0.187,0.00%,50.0
90.00,0.201,0.00%,50.0
100.00,0.194,0.00%,50.0
110.00,0.223,0.00%,50.0
120.00,0.226,0.00%,50.0
130.00,0.205,0.00%,50.0
140.00,0.203,0.06%,50.0
150.00,0.181,0.00%,50.0
160.00,0.233,0.00%,50.0
170.00,0.225,0.00%,50.0
180.00,0.221,0.05%,50.0
190.00,0.240,0.00%,50.0
200.00,0.203,0.00%,50.0
210.00,0.161,0.04%,50.0
220.00,0.190,0.00%,50.0
230.00,0.199,0.00%,50.0
240.00,0.279,0.00%,50.0
250.00,0.165,0.04%,50.0
260.00,0.176,0.93%,49.5
270.00,0.232,0.00%,50.0
280.00,0.194,0.01%,50.0
290.00,0.210,0.00%,50.0
300.00,0.104,0.00%,50.1
