Second,Jitter,Loss,Bitrate
0.00,0.468,34.38%,26.1
10.00,0.474,34.40%,26.2
20.00,0.491,34.43%,26.2
30.00,0.448,34.41%,26.2
40.00,0.456,34.40%,26.2
50.00,0.470,34.43%,26.2
60.00,0.451,34.41%,26.2
70.00,0.458,34.40%,26.2
80.00,0.511,34.40%,26.2
90.00,0.473,34.43%,26.2
100.00,0.462,34.40%,26.2
110.00,0.483,34.40%,26.2
120.00,0.515,34.44%,26.2
130.00,0.471,34.41%,26.2
140.00,0.525,34.40%,26.2
150.00,0.476,34.40%,26.2
160.00,0.461,34.43%,26.2
170.00,0.465,34.40%,26.2
180.00,0.465,34.40%,26.2
190.00,0.459,34.40%,26.2
200.00,0.449,34.43%,26.2
210.00,0.469,34.40%,26.2
220.00,0.476,34.40%,26.2
230.00,0.462,34.40%,26.2
240.00,0.470,34.40%,26.2
250.00,0.477,34.40%,26.2
260.00,0.472,34.40%,26.2
270.00,0.449,34.44%,26.2
280.00,0.468,34.40%,26.2
290.00,0.509,34.40%,26.2
300.00,0.460,34.48%,26.1
