Second,Jitter,Loss,Bitrate
0.00,0.282,0.05%,29.9
10.00,0.252,0.00%,30.0
20.00,0.304,0.00%,30.0
30.00,0.286,0.00%,30.0
40.00,0.222,0.05%,30.0
50.00,0.346,0.00%,30.0
60.00,0.303,0.00%,30.0
70.00,0.246,0.06%,30.0
80.00,0.279,0.00%,30.0
90.00,0.268,0.00%,30.0
100.00,0.215,0.00%,30.0
110.00,0.282,0.03%,30.0
120.00,0.268,0.00%,30.0
130.00,0.281,0.00%,30.0
140.00,0.334,0.00%,30.0
150.00,0.279,0.03%,30.0
160.00,0.252,0.00%,30.0
170.00,0.237,0.00%,30.0
180.00,0.272,0.02%,30.0
190.00,0.276,0.00%,30.0
200.00,0.258,0.00%,30.0
210.00,0.273,0.00%,30.0
220.00,0.300,0.00%,30.0
230.00,0.301,0.00%,30.0
240.00,0.291,0.00%,30.0
250.00,0.304,0.00%,30.0
260.00,0.262,0.04%,30.0
270.00,0.273,0.00%,30.0
280.00,0.291,0.00%,30.0
290.00,0.245,0.00%,30.0
300.00,0.305,0.00%,29.4
