Second,Jitter,Loss,Bitrate
0.00,0.170,0.00%,49.8
10.00,0.187,0.05%,50.0
20.00,0.206,0.00%,50.0
30.00,0.178,0.01%,50.0
40.00,0.237,0.00%,50.0
50.00,0.186,0.04%,50.0
60.00,0.162,0.00%,50.0
70.00,0.169,0.00%,50.0
80.00,0.221,0.04%,50.0
90.00,0.181,0.00%,50.0
100.00,0.148,0.00%,50.0
110.00,0.226,0.00%,50.0
120.00,0.202,0.05%,50.0
130.00,0.216,0.00%,50.0
140.00,0.211,0.00%,50.0
150.00,0.158,0.00%,50.0
160.00,0.193,0.01%,50.0
170.00,0.197,0.00%,50.0
180.00,0.194,0.00%,50.0
190.00,0.201,0.05%,50.0
200.00,0.180,0.00%,50.0
210.00,0.194,0.00%,50.0
220.00,0.154,0.00%,50.0
230.00,0.207,0.01%,50.0
240.00,0.190,0.00%,50.0
250.00,0.167,0.00%,50.0
260.00,0.164,0.05%,50.0
270.00,0.173,0.00%,50.0
280.00,0.222,0.00%,50.0
290.00,0.146,0.00%,50.0
300.00,0.233,0.00%,49.5
