Second,Jitter,Loss,Bitrate
0.00,0.480,56.25%,26.1
10.00,0.509,56.27%,26.2
20.00,0.429,56.27%,26.2
30.00,0.457,56.29%,26.2
40.00,0.456,56.27%,26.2
50.00,0.479,56.27%,26.2
60.00,0.466,56.27%,26.2
70.00,0.466,56.27%,26.2
80.00,0.426,56.27%,26.2
90.00,0.471,56.27%,26.2
100.00,0.448,56.29%,26.2
110.00,0.461,56.27%,26.2
120.00,0.508,56.27%,26.2
130.00,0.476,56.27%,26.2
140.00,0.462,56.27%,26.2
150.00,0.488,56.27%,26.2
160.00,0.454,56.27%,26.2
170.00,0.485,56.28%,26.2
180.00,0.478,56.27%,26.2
190.00,0.477,56.27%,26.2
200.00,0.473,56.27%,26.2
210.00,0.483,56.27%,26.2
220.00,0.461,56.27%,26.2
230.00,0.456,56.27%,26.2
240.00,0.454,56.29%,26.2
250.00,0.411,56.27%,26.2
260.00,0.461,56.27%,26.2
270.00,0.480,56.27%,26.2
280.00,0.467,56.29%,26.2
290.00,0.451,56.27%,26.2
300.00,0.494,56.54%,25.5
