Second,Jitter,Loss,Bitrate
0.00,0.259,0.00%,69.7
10.00,0.093,0.02%,70.0
20.00,0.220,0.00%,70.0
30.00,0.149,0.00%,70.0
40.00,0.143,0.00%,70.0
50.00,0.142,0.01%,70.0
60.00,0.143,0.00%,70.0
70.00,0.066,0.00%,70.0
80.00,0.243,0.03%,70.0
90.00,0.199,0.00%,70.0
100.00,0.179,0.00%,70.0
110.00,0.134,0.00%,70.0
120.00,0.124,0.06%,70.0
130.00,0.188,0.00%,70.0
140.00,0.133,0.00%,70.0
150.00,0.257,0.00%,70.0
160.00,0.086,0.00%,70.0
170.00,0.112,0.00%,70.0
180.00,0.202,0.00%,70.0
190.00,0.193,0.05%,70.0
200.00,0.120,0.00%,70.0
210.00,0.194,0.00%,70.0
220.00,0.172,0.00%,70.0
230.00,0.148,0.06%,70.0
240.00,0.237,0.09%,69.9
250.00,0.178,0.00%,70.0
260.00,0.171,0.05%,70.0
270.00,0.183,0.00%,70.0
280.00,0.117,0.00%,70.0
290.00,0.162,0.00%,70.0
300.00,0.172,0.00%,70.2
