Second,Jitter,Loss,Bitrate
0.00,0.268,28.44%,78.4
10.00,0.223,28.44%,78.7
20.00,0.217,28.49%,78.7
30.00,0.198,28.44%,78.7
40.00,0.232,28.44%,78.7
50.00,0.224,28.44%,78.7
60.00,0.203,28.48%,78.7
70.00,0.223,28.44%,78.7
80.00,0.221,28.44%,78.7
90.00,0.244,28.44%,78.7
100.00,0.277,28.49%,78.7
110.00,0.245,28.44%,78.7
120.00,0.214,28.44%,78.7
130.00,0.202,28.46%,78.7
140.00,0.279,28.44%,78.7
150.00,0.216,28.44%,78.7
160.00,0.203,28.44%,78.7
170.00,0.459,28.46%,78.7
180.00,0.248,28.44%,78.7
190.00,0.262,28.44%,78.7
200.00,0.337,28.46%,78.7
210.00,0.264,28.44%,78.7
220.00,0.252,28.44%,78.7
230.00,0.252,28.44%,78.7
240.00,0.234,28.46%,78.7
250.00,0.263,28.44%,78.7
260.00,0.216,28.44%,78.7
270.00,0.235,28.44%,78.7
280.00,0.184,28.48%,78.7
290.00,0.251,28.44%,78.7
300.00,0.199,28.22%,78.2
