Second,Jitter,Loss,Bitrate
0.00,0.156,0.00%,69.7
10.00,0.136,0.05%,70.0
20.00,0.104,0.00%,70.0
30.00,0.161,0.00%,70.0
40.00,0.152,0.00%,70.0
50.00,0.221,0.00%,70.0
60.00,0.162,0.00%,70.0
70.00,0.186,0.00%,70.0
80.00,0.173,0.00%,70.0
90.00,0.145,0.05%,70.0
100.00,0.270,0.00%,70.0
110.00,0.143,0.00%,70.0
120.00,0.088,0.04%,70.0
130.00,0.188,0.00%,70.0
140.00,0.136,0.00%,70.0
150.00,0.153,0.00%,70.0
160.00,0.125,0.05%,70.0
170.00,0.192,0.00%,70.0
180.00,0.129,0.00%,70.0
190.00,0.141,0.06%,70.0
200.00,0.209,0.00%,70.0
210.00,0.173,0.00%,70.0
220.00,0.126,0.00%,70.0
230.00,0.178,0.06%,70.0
240.00,0.134,0.00%,70.0
250.00,0.226,0.00%,70.0
260.00,0.181,3.90%,62.1
270.00,0.193,7.94%,69.4
280.00,0.190,0.00%,70.0
290.00,0.122,0.00%,70.0
300.00,0.109,0.00%,70.1
