Second,Jitter,Loss,Bitrate
0.00,0.197,0.00%,49.8
10.00,0.218,0.00%,50.0
20.00,0.166,0.00%,50.0
30.00,0.195,0.05%,50.0
40.00,0.290,0.00%,50.0
50.00,0.184,0.00%,50.0
60.00,0.151,0.06%,50.0
70.00,0.216,0.00%,50.0
80.00,0.138,0.00%,50.0
90.00,0.198,0.00%,50.0
100.00,0.198,0.00%,50.0
110.00,0.185,0.00%,50.0
120.00,0.199,0.00%,50.0
130.00,0.184,0.06%,50.0
140.00,0.263,0.00%,50.0
150.00,0.187,0.00%,50.0
160.00,0.168,0.00%,50.0
170.00,0.155,0.06%,50.0
180.00,0.176,0.00%,50.0
190.00,0.153,0.00%,50.0
200.00,0.153,0.00%,50.0
210.00,0.223,0.02%,50.0
220.00,0.188,0.00%,50.0
230.00,0.149,0.00%,50.0
240.00,0.210,0.03%,50.0
250.00,0.151,0.00%,50.0
260.00,0.134,0.00%,50.0
270.00,0.223,0.00%,50.0
280.00,0.157,0.05%,50.0
290.00,0.173,0.00%,50.0
300.00,0.179,0.00%,49.6
