Second,Jitter,Loss,Bitrate
0.00,0.490,78.13%,26.1
10.00,0.431,78.14%,26.2
20.00,0.454,78.13%,26.2
30.00,0.470,78.14%,26.2
40.00,0.522,78.13%,26.2
50.00,0.459,78.14%,26.2
60.00,0.473,78.13%,26.2
70.00,0.451,78.13%,26.2
80.00,0.467,78.13%,26.2
90.00,0.449,78.14%,26.2
100.00,0.456,78.13%,26.2
110.00,0.548,78.14%,26.2
120.00,0.469,78.13%,26.2
130.00,0.454,78.13%,26.2
140.00,0.497,78.14%,26.2
150.00,0.443,78.13%,26.2
160.00,0.485,78.14%,26.2
170.00,0.485,78.14%,26.2
180.00,0.446,78.13%,26.2
190.00,0.470,78.14%,26.2
200.00,0.457,78.13%,26.2
210.00,0.497,78.14%,26.2
220.00,0.461,78.13%,26.2
230.00,0.468,78.14%,26.2
240.00,0.457,78.13%,26.2
250.00,0.450,78.13%,26.2
260.00,0.466,78.13%,26.2
270.00,0.496,78.14%,26.2
280.00,0.435,78.14%,26.2
290.00,0.467,78.14%,26.2
300.00,0.438,77.98%,25.9
