Second,Jitter,Loss,Bitrate
0.00,0.476,70.84%,26.1
10.00,0.456,70.85%,26.2
20.00,0.448,70.85%,26.2
30.00,0.463,70.85%,26.2
40.00,0.478,70.85%,26.2
50.00,0.469,70.86%,26.2
60.00,0.468,70.85%,26.2
70.00,0.461,70.85%,26.2
80.00,0.460,70.85%,26.2
90.00,0.428,70.85%,26.2
100.00,0.454,70.85%,26.2
110.00,0.470,70.85%,26.2
120.00,0.446,70.86%,26.2
130.00,0.476,70.85%,26.2
140.00,0.470,70.85%,26.2
150.00,0.479,70.86%,26.2
160.00,0.455,70.85%,26.2
170.00,0.486,70.85%,26.2
180.00,0.523,70.85%,26.2
190.00,0.442,70.85%,26.2
200.00,0.455,70.85%,26.2
210.00,0.597,70.91%,26.1
220.00,0.489,71.31%,25.9
230.00,0.462,70.85%,26.2
240.00,0.454,70.85%,26.2
250.00,0.474,70.85%,26.2
260.00,0.470,70.86%,26.2
270.00,0.460,70.85%,26.2
280.00,0.398,70.85%,26.2
290.00,0.492,70.85%,26.2
300.00,0.446,70.85%,25.9
