Second,Jitter,Loss,Bitrate
0.00,0.341,47.52%,52.3
10.00,0.356,47.56%,52.4
20.00,0.274,47.52%,52.5
30.00,0.331,47.53%,52.5
40.00,0.326,47.52%,52.5
50.00,0.369,47.53%,52.5
60.00,0.320,47.52%,52.5
70.00,0.355,47.52%,52.5
80.00,0.410,47.52%,52.5
90.00,0.294,47.52%,52.5
100.00,0.336,47.52%,52.5
110.00,0.328,47.52%,52.5
120.00,0.282,47.56%,52.4
130.00,0.335,47.52%,52.5
140.00,0.306,47.52%,52.5
150.00,0.372,47.53%,52.5
160.00,0.298,47.52%,52.5
170.00,0.292,47.52%,52.5
180.00,0.332,47.52%,52.5
190.00,0.285,47.55%,52.5
200.00,0.267,47.53%,52.5
210.00,0.333,47.52%,52.5
220.00,0.312,47.52%,52.5
230.00,0.257,47.54%,52.5
240.00,0.331,47.52%,52.5
250.00,0.315,47.52%,52.5
260.00,0.256,47.53%,52.5
270.00,0.336,47.52%,52.5
280.00,0.378,47.52%,52.5
290.00,0.277,47.52%,52.5
300.00,0.384,47.51%,52.2
