Second,Jitter,Loss,Bitrate
0.00,0.205,0.00%,49.8
10.00,0.211,0.00%,50.0
20.00,0.175,0.06%,50.0
30.00,0.187,0.00%,50.0
40.00,0.227,0.00%,50.0
50.00,0.185,0.00%,50.0
60.00,0.203,0.02%,50.0
70.00,0.177,0.00%,50.0
80.00,0.212,0.00%,50.0
90.00,0.184,0.02%,50.0
100.00,0.184,0.00%,50.0
110.00,0.218,0.00%,50.0
120.00,0.165,0.00%,50.0
130.00,0.179,0.06%,50.0
140.00,0.233,0.00%,50.0
150.00,0.202,0.00%,50.0
160.00,0.230,0.00%,50.0
170.00,0.205,0.06%,50.0
180.00,0.140,0.00%,50.0
190.00,0.216,0.00%,50.0
200.00,0.162,0.01%,50.0
210.00,0.222,0.00%,50.0
220.00,0.174,0.00%,50.0
230.00,0.212,0.01%,50.0
240.00,0.196,0.05%,50.0
250.00,0.160,0.00%,50.0
260.00,0.198,0.00%,50.0
270.00,0.276,0.01%,50.0
280.00,0.221,0.00%,50.0
290.00,0.173,0.00%,50.0
300.00,0.152,0.00%,49.8
