Second,Jitter,Loss,Bitrate
0.00,0.101,0.07%,89.5
10.00,0.165,0.00%,90.0
20.00,0.174,0.00%,90.0
30.00,0.149,0.00%,90.0
40.00,0.079,0.03%,90.0
50.00,0.167,0.00%,90.0
60.00,0.137,0.00%,90.0
70.00,0.055,0.07%,89.9
80.00,0.184,0.00%,90.0
90.00,0.136,0.00%,90.0
100.00,0.156,0.01%,90.0
110.00,0.177,0.05%,90.0
120.00,0.137,0.00%,90.0
130.00,0.071,0.00%,90.0
140.00,0.128,0.06%,90.0
150.00,0.178,0.00%,90.0
160.00,0.152,0.00%,90.0
170.00,0.077,0.00%,90.0
180.00,0.168,0.07%,89.9
190.00,0.158,0.00%,90.0
200.00,0.144,0.01%,90.0
210.00,0.159,0.00%,90.0
220.00,0.149,0.02%,90.0
230.00,0.202,0.02%,90.0
240.00,0.153,0.00%,90.0
250.00,0.114,0.06%,89.9
260.00,0.167,0.00%,90.0
270.00,0.088,0.00%,90.0
280.00,0.260,0.00%,90.0
290.00,0.141,0.06%,90.0
300.00,0.168,0.00%,90.5
