Second,Jitter,Loss,Bitrate
0.00,0.186,0.00%,99.5
10.00,0.168,0.00%,100
20.00,0.227,0.06%,99.9
30.00,0.168,0.00%,100
40.00,0.014,0.00%,100
50.00,0.069,0.00%,100
60.00,0.239,0.08%,99.9
70.00,0.191,0.00%,100
80.00,0.127,0.00%,100
90.00,0.140,0.00%,100
100.00,0.051,0.08%,99.9
110.00,0.020,0.00%,100
120.00,0.207,0.02%,100
130.00,0.050,0.07%,99.9
140.00,0.170,0.01%,100
150.00,0.012,0.00%,100
160.00,0.095,0.00%,100
170.00,0.457,10.15%,83.6
180.00,0.061,24.90%,80.4
190.00,0.022,0.01%,100
200.00,0.166,0.01%,100
210.00,0.165,0.02%,100
220.00,0.235,0.00%,100
230.00,0.138,0.01%,100
240.00,0.153,0.02%,100
250.00,0.088,0.01%,100
260.00,0.222,0.00%,100
270.00,0.074,0.00%,100
280.00,0.275,0.06%,99.9
290.00,0.095,0.00%,100
300.00,0.169,0.00%,96.3
