Second,Jitter,Loss,Bitrate
0.00,0.368,56.28%,52.2
10.00,0.258,56.27%,52.5
20.00,0.321,56.27%,52.5
30.00,0.352,56.30%,52.4
40.00,0.368,56.27%,52.5
50.00,0.348,56.27%,52.5
60.00,0.305,56.27%,52.5
70.00,0.257,56.30%,52.4
80.00,0.317,56.27%,52.5
90.00,0.289,56.27%,52.5
100.00,0.329,56.30%,52.4
110.00,0.342,56.27%,52.5
120.00,0.401,56.27%,52.5
130.00,0.354,56.27%,52.5
140.00,0.320,56.27%,52.5
150.00,0.323,56.27%,52.5
160.00,0.275,56.27%,52.5
170.00,0.345,56.27%,52.5
180.00,0.326,56.27%,52.5
190.00,0.261,56.27%,52.5
200.00,0.363,56.27%,52.5
210.00,0.366,56.27%,52.5
220.00,0.288,56.27%,52.5
230.00,0.296,56.27%,52.5
240.00,0.380,56.27%,52.5
250.00,0.278,56.27%,52.5
260.00,0.268,56.27%,52.5
270.00,0.353,56.27%,52.5
280.00,0.323,56.27%,52.5
290.00,0.368,56.30%,52.4
300.00,0.298,55.91%,49.7
