Second,Jitter,Loss,Bitrate
0.00,0.443,12.54%,102
10.00,0.167,33.53%,81.7
20.00,0.198,12.54%,105
30.00,0.035,12.54%,105
40.00,0.205,12.54%,105
50.00,0.166,12.62%,105
60.00,0.135,12.57%,105
70.00,0.156,12.54%,105
80.00,0.111,12.61%,105
90.00,0.200,12.54%,105
100.00,0.071,12.54%,105
110.00,0.193,12.54%,105
120.00,0.053,12.91%,105
130.00,0.150,12.54%,105
140.00,0.156,12.54%,105
150.00,0.214,12.54%,105
160.00,0.130,12.54%,105
170.00,0.138,12.54%,105
180.00,0.217,12.59%,105
190.00,0.132,12.56%,105
200.00,0.139,12.54%,105
210.00,0.178,12.54%,105
220.00,0.222,12.55%,105
230.00,0.146,12.59%,105
240.00,0.082,12.98%,104
250.00,0.153,12.54%,105
260.00,0.051,12.60%,105
270.00,0.153,12.54%,105
280.00,0.156,12.55%,105
290.00,0.134,12.54%,105
300.00,0.149,12.61%,105
