Second,Jitter,Loss,Bitrate
0.00,0.271,34.40%,78.4
10.00,0.247,34.40%,78.7
20.00,0.187,34.41%,78.7
30.00,0.237,34.40%,78.7
40.00,0.238,34.44%,78.7
50.00,0.236,34.40%,78.7
60.00,0.221,34.40%,78.7
70.00,0.270,34.44%,78.7
80.00,0.250,34.40%,78.7
90.00,0.206,34.40%,78.7
100.00,0.263,34.41%,78.7
110.00,0.265,34.42%,78.7
120.00,0.208,34.40%,78.7
130.00,0.241,34.41%,78.7
140.00,0.173,34.40%,78.7
150.00,0.241,47.65%,62.8
160.00,0.257,34.40%,78.7
170.00,0.213,34.40%,78.7
180.00,0.230,34.42%,78.7
190.00,0.205,34.40%,78.7
200.00,0.241,34.40%,78.7
210.00,0.280,34.40%,78.7
220.00,0.218,34.41%,78.7
230.00,0.267,34.40%,78.7
240.00,0.200,34.40%,78.7
250.00,0.256,34.45%,78.7
260.00,0.205,34.40%,78.7
270.00,0.242,34.41%,78.7
280.00,0.260,34.40%,78.7
290.00,0.280,34.42%,78.7
300.00,0.282,34.38%,77.8
