Second,Jitter,Loss,Bitrate
0.00,0.209,1.60%,78.4
10.00,0.239,1.60%,78.7
20.00,0.160,1.60%,78.7
30.00,0.246,1.68%,78.7
40.00,0.226,1.60%,78.7
50.00,0.266,1.60%,78.7
60.00,0.288,1.63%,78.7
70.00,0.235,1.60%,78.7
80.00,0.218,1.60%,78.7
90.00,0.203,1.60%,78.7
100.00,0.216,1.67%,78.7
110.00,0.276,1.61%,78.7
120.00,0.208,1.61%,78.7
130.00,0.278,1.62%,78.7
140.00,0.220,1.62%,78.7
150.00,0.163,1.61%,78.7
160.00,0.209,1.61%,78.7
170.00,0.280,1.63%,78.7
180.00,0.237,1.61%,78.7
190.00,0.222,1.61%,78.7
200.00,0.229,1.61%,78.7
210.00,0.177,1.67%,78.7
220.00,0.232,1.61%,78.7
230.00,0.248,1.61%,78.7
240.00,0.239,1.61%,78.7
250.00,0.199,1.61%,78.7
260.00,0.217,1.61%,78.7
270.00,0.240,1.61%,78.7
280.00,0.235,1.67%,78.7
290.00,0.240,1.61%,78.7
300.00,0.253,1.84%,78.3
