Second,Jitter,Loss,Bitrate
0.00,0.303,0.00%,19.9
10.00,0.307,0.00%,20.0
20.00,0.299,0.02%,20.0
30.00,0.414,0.00%,20.0
40.00,0.278,0.00%,20.0
50.00,0.295,0.02%,20.0
60.00,0.333,0.00%,20.0
70.00,0.269,0.00%,20.0
80.00,0.325,0.00%,20.0
90.00,0.331,0.01%,20.0
100.00,0.302,0.00%,20.0
110.00,0.315,0.00%,20.0
120.00,0.308,0.01%,20.0
130.00,0.308,0.00%,20.0
140.00,0.275,0.00%,20.0
150.00,0.270,0.00%,20.0
160.00,0.312,0.01%,20.0
170.00,0.287,0.00%,20.0
180.00,0.333,0.00%,20.0
190.00,0.318,0.00%,20.0
200.00,0.300,0.01%,20.0
210.00,0.325,0.00%,20.0
220.00,0.300,0.00%,20.0
230.00,0.277,0.00%,20.0
240.00,0.309,0.00%,20.0
250.00,0.305,0.00%,20.0
260.00,0.320,0.00%,20.0
270.00,0.284,0.00%,20.0
280.00,0.289,0.00%,20.0
290.00,0.281,0.00%,20.0
300.00,0.297,0.00%,20.0
