Second,Jitter,Loss,Bitrate
0.00,0.201,0.05%,59.7
10.00,0.185,0.00%,60.0
20.00,0.121,0.00%,60.0
30.00,0.097,0.01%,60.0
40.00,0.147,0.00%,60.0
50.00,0.134,0.00%,60.0
60.00,0.181,0.03%,60.0
70.00,0.167,0.03%,60.0
80.00,0.119,0.00%,60.0
90.00,0.179,0.00%,60.0
100.00,0.156,0.00%,60.0
110.00,0.146,0.05%,60.0
120.00,0.179,0.00%,60.0
130.00,0.130,0.00%,60.0
140.00,0.195,0.00%,60.0
150.00,0.174,0.00%,60.0
160.00,0.143,0.00%,60.0
170.00,0.158,0.00%,60.0
180.00,0.110,0.09%,59.9
190.00,0.158,0.00%,60.0
200.00,0.142,0.00%,60.0
210.00,0.184,0.02%,60.0
220.00,0.214,0.00%,60.0
230.00,0.189,0.00%,60.0
240.00,0.152,0.00%,60.0
250.00,0.139,0.05%,60.0
260.00,0.144,0.00%,60.0
270.00,0.130,0.00%,60.0
280.00,0.214,0.00%,60.0
290.00,0.213,0.01%,60.0
300.00,0.088,0.00%,59.9
