Second,Jitter,Loss,Bitrate
0.00,0.343,12.54%,52.2
10.00,0.366,12.54%,52.5
20.00,0.302,12.54%,52.5
30.00,0.339,12.56%,52.5
40.00,0.324,12.54%,52.5
50.00,0.377,12.54%,52.5
60.00,0.296,12.54%,52.5
70.00,0.282,12.55%,52.5
80.00,0.266,12.54%,52.5
90.00,0.304,12.54%,52.5
100.00,0.336,21.01%,47.4
110.00,0.344,12.59%,52.4
120.00,0.313,12.54%,52.5
130.00,0.327,12.54%,52.5
140.00,0.390,12.56%,52.5
150.00,0.369,12.54%,52.5
160.00,0.334,12.54%,52.5
170.00,0.326,12.54%,52.5
180.00,0.317,12.55%,52.5
190.00,0.280,12.54%,52.5
200.00,0.313,12.54%,52.5
210.00,0.377,12.54%,52.5
220.00,0.356,12.59%,52.4
230.00,0.254,12.54%,52.5
240.00,0.319,12.54%,52.5
250.00,0.251,12.55%,52.5
260.00,0.302,12.54%,52.5
270.00,0.353,12.54%,52.5
280.00,0.354,12.54%,52.5
290.00,0.348,12.58%,52.5
300.00,0.317,12.99%,52.4
