Second,Jitter,Loss,Bitrate
0.00,0.467,12.51%,26.1
10.00,0.465,12.57%,26.2
20.00,0.475,12.53%,26.2
30.00,0.481,12.54%,26.2
40.00,0.489,12.54%,26.2
50.00,0.501,12.54%,26.2
60.00,0.485,12.54%,26.2
70.00,0.482,12.53%,26.2
80.00,0.500,12.58%,26.2
90.00,0.470,12.54%,26.2
100.00,0.481,12.54%,26.2
110.00,0.485,14.48%,25.7
120.00,0.472,12.58%,26.2
130.00,0.461,12.54%,26.2
140.00,0.472,12.53%,26.2
150.00,0.493,12.54%,26.2
160.00,0.461,12.58%,26.2
170.00,0.469,12.54%,26.2
180.00,39.200,12.54%,18.5
