Second,Jitter,Loss,Bitrate
0.00,0.206,0.00%,39.8
10.00,0.169,0.00%,40.0
20.00,0.202,0.00%,40.0
30.00,0.215,0.00%,40.0
40.00,0.175,0.00%,40.0
50.00,0.145,0.00%,40.0
60.00,0.243,0.00%,40.0
70.00,0.158,0.00%,40.0
80.00,0.261,0.04%,40.0
90.00,0.212,0.00%,40.0
100.00,0.174,0.00%,40.0
110.00,0.147,0.00%,40.0
120.00,0.181,4.76%,38.1
130.00,0.157,0.00%,40.0
140.00,0.246,0.00%,40.0
150.00,0.190,0.00%,40.0
160.00,0.154,0.03%,40.0
170.00,0.196,0.00%,40.0
180.00,0.195,0.00%,40.0
190.00,0.216,0.01%,40.0
200.00,0.183,0.00%,40.0
210.00,0.192,0.00%,40.0
220.00,0.278,0.00%,40.0
230.00,0.201,0.03%,40.0
240.00,0.158,0.00%,40.0
250.00,0.318,0.00%,40.0
260.00,0.197,0.00%,40.0
270.00,0.188,0.00%,40.0
280.00,0.227,0.00%,40.0
290.00,0.148,0.00%,40.0
300.00,0.192,0.00%,40.0
